,Common Name,Type,Family,Native Range,Zone,Height,Spread,Bloom Time,Bloom Description,Sun,Water,Maintenance,Suggested Use,Flower,Tolerate,Invasive,Leaf,Attracts,Fruit,Other
Carex vulpinoidea, fox sedge , Rush or Sedge, Cyperaceae, North America, 3 to 7, 1.00 to 3.00 feet, 0.50 to 2.00 feet, May to July, Green, Full sun to part shade, Wet, Low," Water Plant, Naturalize, Rain Garden", Insignificant, Deer,,,,,
Carpinus caroliniana, American hornbeam , Tree, Betulaceae, Eastern North America, 3 to 9, 20.00 to 35.00 feet, 20.00 to 35.00 feet, February," White (female), Green (male)", Part shade to full shade, Medium, Low," Street Tree, Naturalize", Insignificant," Clay Soil, Black Walnut",, Good Fall, Birds,,
Carya cordiformis, bitternut hickory , Tree, Juglandaceae, Eastern North America, 4 to 9, 50.00 to 80.00 feet, 30.00 to 50.00 feet, April to May, Green, Full sun to part shade, Medium to wet, Low," Shade Tree, Street Tree", Insignificant, Black Walnut,,,, Showy,
Carya glabra, pignut , Tree, Juglandaceae, Eastern United States, 4 to 9, 50.00 to 80.00 feet, 25.00 to 40.00 feet, April to May, Yellowish-green, Full sun to part shade, Medium, Low," Shade Tree, Street Tree", Insignificant, Black Walnut,, Good Fall,, Showy,
Carya illinoinensis, hardy pecan , Tree, Juglandaceae, Iowa and Indiana south to Texas and Mexico, 5 to 9, 75.00 to 100.00 feet, 40.00 to 70.00 feet, April to May, Greenish-yellow, Full sun, Medium, Medium, Shade Tree, Insignificant, Black Walnut,,,," Showy, Edible",
Carya laciniosa, shellbark hickory , Tree, Juglandaceae, Eastern and central North America, 5 to 8, 60.00 to 80.00 feet, 40.00 to 60.00 feet, April to May, Greenish-yellow, Full sun to part shade, Medium to wet, Low, Shade Tree, Showy, Black Walnut,, Good Fall,," Showy, Edible", Winter Interest
Carya ovata, shagbark hickory , Tree, Juglandaceae, Eastern North America, 4 to 8, 70.00 to 90.00 feet, 50.00 to 70.00 feet, April to May, Greenish-yellow, Full sun to part shade, Medium, Low, Shade Tree, Insignificant," Clay Soil, Black Walnut",, Good Fall,," Showy, Edible", Winter Interest
Carya tomentosa, mockernut , Tree, Juglandaceae, United States, 4 to 9, 60.00 to 80.00 feet, 40.00 to 60.00 feet, April to May, Yellowish-green, Full sun to part shade, Medium, Low, Shade Tree, Insignificant, Black Walnut,," Fragrant, Good Fall",," Showy, Edible",
Castanea dentata, American chestnut , Tree, Fagaceae, Eastern United States, 5 to 8, 50.00 to 75.00 feet, 50.00 to 75.00 feet, June, Yellow-white, Full sun, Medium, High,, Insignificant," Deer, Black Walnut",,,," Showy, Edible",
Castilleja coccinea, Indian paintbrush , Herbaceous perennial, Orobanchaceae, Western United States, 4 to 8, 0.75 to 1.50 feet, 1.00 to 1.50 feet, April to July, Orange-red, Full sun, Medium, Medium,, Showy,,,, Hummingbirds,,
Catalpa bignonioides, catalpa , Tree, Bignoniaceae, Southeastern United States, 5 to 9, 30.00 to 60.00 feet, 20.00 to 40.00 feet, May to June, White with purple and yellow markings, Full sun to part shade, Medium to wet, Medium," Shade Tree, Rain Garden", Showy," Deer, Drought, Black Walnut", Where is this species invasive in the US?,,, Showy,
Catalpa speciosa, catalpa , Tree, Bignoniaceae, United States, 4 to 8, 40.00 to 70.00 feet, 20.00 to 50.00 feet, May to June, White with purple and yellow interior spotting, Full sun to part shade, Medium to wet, Medium," Shade Tree, Rain Garden", Showy," Deer, Drought, Clay Soil, Air Pollution", Where is this species invasive in the US?,,, Showy,
Caulophyllum thalictroides, blue cohosh , Herbaceous perennial, Berberidaceae, Eastern and central North America, 3 to 8, 1.00 to 2.00 feet, 0.50 to 1.00 feet, April, Yellow-green, Part shade to full shade, Medium, Medium,, Insignificant,,,,, Showy,
Ceanothus americanus, New Jersey tea , Deciduous shrub, Rhamnaceae, Eastern and central North America, 4 to 8, 3.00 to 4.00 feet, 3.00 to 5.00 feet, May to July, White, Full sun to part shade, Dry to medium, Low,," Showy, Fragrant, Good Cut"," Drought, Dry Soil, Shallow-Rocky Soil, Black Walnut",,," Hummingbirds, Butterflies",,
Celastrus scandens, American bittersweet , Vine, Celastraceae, North America, 3 to 8, 15.00 to 20.00 feet, 3.00 to 6.00 feet, May to June, Greenish-white to yellow, Full sun, Medium, Low, Naturalize, Showy," Deer, Drought",,, Birds, Showy, Winter Interest
Celtis laevigata, sugarberry , Tree, Cannabaceae, Southern United States, 6 to 9, 60.00 to 80.00 feet, 60.00 to 80.00 feet, April to May, Green, Full sun to part shade, Medium to wet, Low," Shade Tree, Street Tree, Rain Garden", Insignificant," Clay Soil, Wet Soil, Air Pollution",,, Birds, Edible,
Celtis occidentalis, hackberry , Tree, Cannabaceae, Central and northeastern North America, 2 to 9, 40.00 to 60.00 feet, 40.00 to 60.00 feet, April to May, Green, Full sun to part shade, Medium to wet, Low," Shade Tree, Street Tree, Rain Garden", Insignificant," Drought, Clay Soil, Wet Soil, Air Pollution",,," Birds, Butterflies", Edible,
Cephalanthus occidentalis, buttonbush , Deciduous shrub, Rubiaceae, North America, 5 to 9, 5.00 to 12.00 feet, 4.00 to 8.00 feet, June, White, Full sun to part shade, Medium to wet, Low," Naturalize, Rain Garden"," Showy, Fragrant"," Erosion, Wet Soil",,," Hummingbirds, Butterflies", Showy, Winter Interest
Cercis canadensis, eastern redbud , Tree, Fabaceae, Eastern North America, 4 to 8, 20.00 to 30.00 feet, 25.00 to 35.00 feet, April, Pink, Full sun to part shade, Medium, Low," Street Tree, Flowering Tree, Naturalize", Showy," Deer, Clay Soil, Black Walnut",, Good Fall, Butterflies,,
Chamaecrista fasciculata, partridge pea , Annual, Fabaceae," Eastern, central, and southeastern United States", 3 to 9, 1.00 to 3.00 feet, 1.00 to 3.00 feet, June to September, Yellow, Full sun, Dry to medium, Low," Annual, Naturalize", Showy," Drought, Dry Soil",,," Birds, Butterflies",,
Chamaecyparis thyoides, white cypress , Needled evergreen, Cupressaceae, Eastern United States, 4 to 8, 30.00 to 50.00 feet, 30.00 to 40.00 feet, Non-flowering, Non-flowering, Full sun to part shade, Medium to wet, Low,,, Erosion,, Evergreen,,, Winter Interest
Chamaelirium luteum, fairy wand , Herbaceous perennial, Melanthiaceae, Eastern North America, 4 to 9, 2.00 to 4.00 feet, 1.00 to 1.50 feet, May to June, White, Part shade to full shade, Medium, Low, Naturalize, Showy,,,,,,
Chasmanthium latifolium, northern sea oats , Ornamental grass, Poaceae," Eastern United States, northern Mexico", 3 to 8, 2.00 to 5.00 feet, 1.00 to 2.50 feet, August to September, Green, Full sun to part shade, Medium to wet, Low, Naturalize," Showy, Good Cut, Good Dried", Black Walnut,, Good Fall,,, Winter Interest
Chelone glabra, white turtlehead , Herbaceous perennial, Plantaginaceae, United States, 3 to 8, 2.00 to 3.00 feet, 1.50 to 2.50 feet, August to October, White with pink tinge, Part shade, Medium to wet, Low," Naturalize, Rain Garden", Showy," Erosion, Wet Soil",,, Butterflies,,
Chelone lyonii, pink turtlehead , Herbaceous perennial, Plantaginaceae, Southeastern United States, 3 to 8, 2.00 to 4.00 feet, 1.50 to 2.50 feet, July to September, Pink, Full sun to part shade, Medium to wet, Medium," Naturalize, Rain Garden", Showy," Deer, Erosion, Wet Soil",,, Butterflies,,
Chelone obliqua, turtlehead , Herbaceous perennial, Plantaginaceae, United States, 5 to 9, 2.00 to 3.00 feet, 1.00 to 2.00 feet, July to September," Rosy purple, pink, or white.", Full sun to part shade, Medium to wet, Medium," Naturalize, Rain Garden", Showy," Erosion, Clay Soil, Wet Soil",,,,,
Chionanthus virginicus, fringe tree , Tree, Oleaceae, Eastern United States, 3 to 9, 12.00 to 20.00 feet, 12.00 to 20.00 feet, May to June, Creamy white, Full sun to part shade, Medium, Low, Flowering Tree," Showy, Fragrant"," Clay Soil, Black Walnut, Air Pollution",, Good Fall, Birds, Showy,
Chrysogonum virginianum, golden knee , Herbaceous perennial, Asteraceae, Eastern United States, 5 to 9, 0.50 to 1.00 feet, 0.75 to 1.50 feet, May to October, Yellow, Part shade to full shade, Medium to wet, Low," Naturalize, Rain Garden", Showy, Heavy Shade,,,,,
Chrysopsis mariana, golden aster , Herbaceous perennial, Asteraceae, Southeastern United States, 4 to 9, 1.00 to 2.50 feet, 1.00 to 2.00 feet, August to October, Yellow, Full sun to part shade, Dry to medium, Medium, Naturalize, Showy, Drought,,, Butterflies,,
Cinna arundinacea, wood reed grass , Ornamental grass, Poaceae, Eastern and central United States, 4 to 7, 2.00 to 5.00 feet, 1.00 to 2.00 feet, July to August, Green, Full sun to part shade, Medium to wet, Medium, Naturalize,, Erosion,,,,,
Cissus trifoliata, marine ivy , Vine, Vitaceae," Southern United States, New Mexico", 6 to 10, 12.00 to 30.00 feet, 5.00 to 10.00 feet, June to July, Green, Full sun, Medium, Low," Ground Cover, Naturalize", Showy,,, Fragrant,, Showy,
Cladrastis kentukea, yellowwood , Tree, Fabaceae, North America, 4 to 8, 30.00 to 50.00 feet, 40.00 to 55.00 feet, May, White, Full sun, Medium, Low," Shade Tree, Flowering Tree"," Showy, Fragrant",,, Good Fall,,,
Claytonia virginica, spring beauty , Herbaceous perennial, Montiaceae, Eastern North America, 3 to 8, 0.50 to 0.75 feet, 0.50 to 0.75 feet, April, White to pink, Full sun to part shade, Medium, High, Naturalize, Showy,,,,,,
Clematis crispa, blue jasmine , Vine, Ranunculaceae, Southeastern United States, 6 to 9, 6.00 to 10.00 feet, 3.00 to 6.00 feet, May to July, Pale blue to violet with white interior, Full sun to part shade, Medium to wet, Medium,," Showy, Fragrant"," Deer, Clay Soil, Black Walnut",,,,,
Clematis virginiana, woodbine , Vine, Ranunculaceae, Eastern North America, 3 to 8, 12.00 to 20.00 feet, 3.00 to 6.00 feet, August to October, White, Full sun to part shade, Medium to wet, Low, Naturalize," Showy, Fragrant"," Deer, Black Walnut",,,,,
Clethra alnifolia, sweet pepperbush , Deciduous shrub, Clethraceae, Eastern and southern North America, 3 to 9, 3.00 to 8.00 feet, 4.00 to 6.00 feet, July to August, White, Full sun to part shade, Medium to wet, Low," Hedge, Naturalize, Rain Garden"," Showy, Fragrant"," Heavy Shade, Erosion, Clay Soil, Wet Soil",, Good Fall," Birds, Butterflies", Showy,
Collinsonia canadensis, horse balm , Herbaceous perennial, Lamiaceae, Eastern North America, 4 to 8, 2.00 to 4.00 feet, 1.00 to 3.00 feet, August to September, Light yellow, Part shade, Medium, Low, Naturalize," Showy, Fragrant",,,,,,
Conoclinium coelestinum, blue mistflower , Herbaceous perennial, Asteraceae," Central and southeastern United States, West Indies", 5 to 10, 1.50 to 3.00 feet, 1.50 to 3.00 feet, July to October, Blue, Full sun to part shade, Medium, Medium, Naturalize, Showy,,,, Butterflies,,
Coreopsis grandiflora, large-flowered tickseed , Herbaceous perennial, Asteraceae, Central and eastern North America, 4 to 9, 1.50 to 2.50 feet, 1.00 to 1.50 feet, June to August, Yellow rays and darker yellow center, Full sun, Dry to medium, Low," Annual, Naturalize",," Rabbit, Deer, Drought, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Coreopsis lanceolata, lanceleaf coreopsis , Herbaceous perennial, Asteraceae, North America, 4 to 9, 1.00 to 2.00 feet, 1.00 to 1.50 feet, May to July, Yellow, Full sun, Dry to medium, Medium, Naturalize," Showy, Good Cut"," Deer, Drought, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Coreopsis major, greater tickseed , Herbaceous perennial, Asteraceae, Southeastern United States, 5 to 9, 2.00 to 3.00 feet, 1.00 to 2.00 feet, June to July, Yellow, Full sun, Dry to medium, Low, Naturalize, Showy," Deer, Drought, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Coreopsis palmata, tickseed , Herbaceous perennial, Asteraceae, Central United States, 3 to 8, 1.50 to 2.50 feet, 1.00 to 1.50 feet, May to July, Yellow, Full sun, Dry to medium, Low, Naturalize," Showy, Good Cut"," Deer, Drought, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Coreopsis pubescens, tickseed , Herbaceous perennial, Asteraceae, United States, 6 to 9, 2.00 to 4.00 feet, 1.50 to 2.50 feet, June to September, Yellow rays and darker yellow center, Full sun, Dry to medium, Low, Naturalize, Showy," Deer, Drought, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Coreopsis tinctoria, plains coreopsis , Annual, Asteraceae, Central and eastern United States, 2 to 11, 2.00 to 4.00 feet, 1.00 to 1.50 feet, June to September, Yellow rays with reddish-brown center disk, Full sun, Dry to medium, Low, Annual," Showy, Good Cut"," Deer, Drought, Clay Soil, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Coreopsis tripteris, tickseed , Herbaceous perennial, Asteraceae, Central and southeastern United States, 3 to 8, 2.00 to 8.00 feet, 2.00 to 8.00 feet, July to September, Brown disks with yellow rays, Full sun, Dry to medium, Low, Naturalize," Showy, Good Cut"," Deer, Drought, Clay Soil, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Coreopsis verticillata, threadleaf coreopsis , Herbaceous perennial, Asteraceae, Eastern United States, 3 to 9, 2.50 to 3.00 feet, 1.50 to 2.00 feet, June to September, Yellow, Full sun, Dry to medium, Low, Naturalize, Showy," Deer, Drought, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Cornus alternifolia, pagoda dogwood , Deciduous shrub, Cornaceae, Eastern North America, 3 to 7, 15.00 to 25.00 feet, 20.00 to 32.00 feet, May to June, Yellowish-white, Full sun to part shade, Medium, Low, Flowering Tree," Showy, Fragrant"," Deer, Black Walnut",, Good Fall," Birds, Butterflies", Showy,
Cornus amomum, dogwood , Deciduous shrub, Cornaceae, Eastern North America, 5 to 8, 6.00 to 12.00 feet, 6.00 to 12.00 feet, May to June, Yellowish white, Full sun to part shade, Medium to wet, Medium," Hedge, Rain Garden", Showy," Deer, Erosion, Wet Soil, Black Walnut",,, Birds, Showy,
Cornus drummondii, dogwood , Deciduous shrub, Cornaceae, Eastern North America, 5 to 8, 6.00 to 15.00 feet, 6.00 to 15.00 feet, May to June, Yellowish-white, Full sun to part shade, Medium to wet, Medium,,, Deer,,,,,
Cornus florida, flowering dogwood , Tree, Cornaceae, Eastern North America, 5 to 9, 15.00 to 30.00 feet, 15.00 to 30.00 feet, April to May, White (bracts), Full sun to part shade, Medium, Medium, Flowering Tree, Showy," Deer, Clay Soil, Black Walnut",, Good Fall," Birds, Butterflies", Showy,
Corylus americana, American hazelnut , Deciduous shrub, Betulaceae, Eastern North America, 4 to 9, 10.00 to 16.00 feet, 8.00 to 13.00 feet, March to April," Male - brown, female - red", Full sun to part shade, Medium, Low, Hedge, Showy," Clay Soil, Black Walnut",, Good Fall, Birds, Edible,
Corylus cornuta, beaked hazel , Deciduous shrub, Betulaceae, North America, 4 to 8, 4.00 to 8.00 feet, 4.00 to 8.00 feet, April, Pale yellow (male), Full sun to part shade, Medium, Low," Hedge, Naturalize", Insignificant,,,,," Showy, Edible",
Cotinus obovatus, American smoke tree , Tree, Anacardiaceae, Southern United States, 4 to 8, 20.00 to 30.00 feet, 20.00 to 30.00 feet, May to June, Yellowish-green, Full sun, Medium, Medium,, Insignificant," Deer, Drought, Clay Soil",, Good Fall,,,
Crataegus crus-galli, cockspur thorn , Tree, Rosaceae, Eastern North America, 3 to 7, 25.00 to 35.00 feet, 25.00 to 35.00 feet, May, White, Full sun, Medium, Medium, Flowering Tree," Showy, Fragrant"," Drought, Clay Soil, Air Pollution",, Good Fall," Birds, Butterflies"," Showy, Edible"," Winter Interest, Thorns"
Crataegus phaenopyrum, Washington hawthorn , Tree, Rosaceae, Southeastern United States, 3 to 8, 25.00 to 30.00 feet, 25.00 to 30.00 feet, June, White, Full sun, Medium, Medium," Hedge, Street Tree, Flowering Tree"," Showy, Fragrant", Air Pollution, Where is this species invasive in the US?, Good Fall," Birds, Butterflies"," Showy, Edible", Thorns
Crataegus viridis, green hawthorn , Tree, Rosaceae, Eastern United States, 4 to 8, 20.00 to 35.00 feet, 20.00 to 35.00 feet, May, White, Full sun, Dry to medium, Low," Flowering Tree, Rain Garden", Showy," Drought, Clay Soil, Dry Soil",,," Birds, Butterflies"," Showy, Edible"," Winter Interest, Thorns"
Crinum americanum, Florida swamp lily , Bulb, Amaryllidaceae, Southern United States, 8 to 11, 2.00 to 3.00 feet, 1.00 to 2.00 feet, June to September, White (sometimes blushed pink), Full sun to part shade, Medium to wet, Medium, Water Plant," Showy, Fragrant", Wet Soil,, Evergreen,,, Winter Interest
Cryptotaenia canadensis, Canadian honewort , Herbaceous perennial, Apiaceae, Eastern North America, 4 to 8, 1.00 to 3.00 feet, 0.75 to 2.00 feet, June to September, White, Part shade, Medium, Low," Herb, Naturalize", Showy, Deer,,, Butterflies,,
Cunila origanoides, common dittany , Herbaceous perennial, Lamiaceae, Eastern United States, 5 to 8, 0.75 to 1.50 feet, 0.75 to 1.50 feet, July to September, Lavender, Full sun to part shade, Dry to medium, Low, Herb, Showy," Drought, Dry Soil, Shallow-Rocky Soil",, Fragrant, Butterflies,,
Cuphea viscosissima, blue waxweed , Annual, Lythraceae, Eastern and central United States, 6 to 9, 1.00 to 2.00 feet, 0.75 to 1.50 feet, July to October, Purple to purplish-red, Full sun, Medium, Low," Annual, Naturalize", Showy,,,," Hummingbirds, Butterflies",,
Cypripedium kentuckiense, lady slipper , Orchid, Orchidaceae, United States, 3 to 8, 1.50 to 2.50 feet, 1.00 to 1.50 feet, April to June, Creamy yellow with purplish brown sepals, Part shade to full shade, Medium to wet, Medium,, Showy," Heavy Shade, Wet Soil",,,,,
Dalea candida, white prairie clover , Herbaceous perennial, Fabaceae, Central North America, 3 to 8, 1.00 to 2.00 feet, 0.75 to 1.50 feet, May to July, White, Full sun, Medium, Low, Naturalize, Showy, Drought,,, Butterflies,,
Dalea gattingeri, Gattinger's prairie clover , Herbaceous perennial, Fabaceae, Southeastern United States, 6 to 8, 0.50 to 1.00 feet, 1.00 to 2.00 feet, July to September, Deep purple, Full sun, Dry to medium, Low, Naturalize, Showy," Drought, Dry Soil",,, Butterflies,,
Dalea purpurea, purple prairie clover , Herbaceous perennial, Fabaceae, North America, 3 to 8, 1.00 to 3.00 feet, 1.00 to 1.50 feet, June to August, Rose/Purple, Full sun, Medium, Low, Naturalize, Showy, Drought,,, Butterflies,,
Decodon verticillatus, swamp loosestrife , Herbaceous perennial, Lythraceae, Eastern and central North America, 3 to 9, 6.00 to 8.00 feet, 6.00 to 8.00 feet, July to August, Pink to rose-purple, Full sun to part shade, Wet, Medium," Water Plant, Naturalize", Showy, Wet Soil,,,,,
Delphinium carolinianum, Carolina larkspur , Herbaceous perennial, Ranunculaceae, North America, 4 to 7, 1.00 to 2.00 feet, 0.75 to 1.50 feet, April to June, Blue-violet, Full sun to part shade, Medium, Medium,, Showy," Rabbit, Deer",,," Hummingbirds, Butterflies",,
Delphinium exaltatum, tall larkspur , Herbaceous perennial, Ranunculaceae, Eastern United States, 5 to 7, 4.00 to 6.00 feet, 1.00 to 2.00 feet, July to September, Gentian blue, Full sun, Medium, Medium,, Showy, Deer,,, Butterflies,,
Delphinium tricorne, dwarf larkspur , Herbaceous perennial, Ranunculaceae, Eastern United States, 4 to 7, 1.00 to 2.00 feet, 0.75 to 1.50 feet, April to May, Violet blue to purple (occasionally with white), Full sun, Medium, Medium,, Showy," Rabbit, Deer",,," Hummingbirds, Butterflies",,
Dennstaedtia punctilobula, hay-scented fern , Fern, Dennstaedtiaceae, Eastern North America, 3 to 8, 1.50 to 2.00 feet, 2.00 to 3.00 feet, Non-flowering, Non-flowering, Part shade to full shade, Medium, Medium, Naturalize,," Rabbit, Heavy Shade",," Fragrant, Good Fall",,,
Deschampsia flexuosa, crinkled hair grass , Ornamental grass, Poaceae," Africa, Asia, North America, South America, Europe", 4 to 7, 2.00 to 3.00 feet, 1.00 to 2.00 feet, July to September, Purple to bronze, Part shade, Medium, Low,, Showy, Drought,,,,,
Desmanthus illinoensis, prairie bundleflower , Herbaceous perennial, Fabaceae," North, Central, and South America", 5 to 8, 2.00 to 3.00 feet, 2.00 to 3.00 feet, June, White, Full sun, Dry to medium, Low,, Showy," Drought, Dry Soil, Shallow-Rocky Soil",,,,,
Diarrhena americana, American beakgrain , Ornamental grass, Poaceae, Central and eastern United States, 4 to 8, 2.00 to 3.00 feet, 2.00 to 3.00 feet, June to July,, Part shade to full shade, Medium, Low, Naturalize, Insignificant," Drought, Heavy Shade, Dry Soil, Black Walnut, Air Pollution",,,,,
Dicentra cucullaria, Dutchman's breeches , Herbaceous perennial, Papaveraceae, Eastern North America, 3 to 7, 0.50 to 1.00 feet, 0.50 to 1.00 feet, March, White to pink, Part shade to full shade, Medium, Medium,, Showy," Rabbit, Clay Soil",,,,,
Diervilla lonicera, bush honeysuckle , Deciduous shrub, Caprifoliaceae, Eastern North America, 3 to 7, 2.00 to 3.00 feet, 2.00 to 4.00 feet, June to July, Yellow, Full sun to part shade, Dry to medium, Low," Hedge, Naturalize", Showy,,, Good Fall," Hummingbirds, Butterflies",,
Diervilla sessilifolia, bush honeysuckle , Deciduous shrub, Caprifoliaceae, Southeastern United States, 5 to 8, 3.00 to 5.00 feet, 3.00 to 5.00 feet, June to July, Sulfur yellow, Full sun to part shade, Medium, Medium," Ground Cover, Naturalize"," Showy, Fragrant", Erosion,,," Hummingbirds, Butterflies",,
Diospyros virginiana, persimmon , Tree, Ebenaceae, Eastern and midwestern United States, 4 to 9, 35.00 to 60.00 feet, 25.00 to 35.00 feet, May to June, White to greenish yellow, Full sun to part shade, Dry to medium, Low, Rain Garden, Insignificant," Drought, Clay Soil, Dry Soil, Shallow-Rocky Soil, Black Walnut, Air Pollution",,,," Showy, Edible", Winter Interest
Diplazium pycnocarpon, glade fern , Fern, Athyriaceae, North America, 3 to 8, 2.00 to 3.00 feet, 2.00 to 3.00 feet, Non-flowering, Non-flowering, Part shade to full shade, Medium, Low, Ground Cover,," Rabbit, Heavy Shade, Dry Soil",,,,,
Dirca palustris, leatherwood , Deciduous shrub, Thymelaeaceae, Eastern United States, 3 to 9, 4.00 to 6.00 feet, 4.00 to 6.00 feet, March to April, Pale lemon yellow, Part shade to full shade, Medium, Low," Hedge, Rain Garden", Showy," Heavy Shade, Wet Soil",, Good Fall,,,
Dodecatheon meadia, shooting star , Herbaceous perennial, Primulaceae, Eastern and central North America, 4 to 8, 0.75 to 1.50 feet, 0.75 to 1.00 feet, April to May," White, pink, purple", Part shade, Medium, Medium,, Showy, Clay Soil,,,,,
Dracopis amplexicaulis, clasping coneflower , Annual, Asteraceae, Southeastern and southcentral United States, 2 to 11, 1.50 to 2.00 feet, 1.00 to 1.50 feet, July to September, Yellow rays with dark brown center disk, Full sun, Dry to medium, Low, Annual, Showy, Drought,,, Butterflies,,
Dryopteris marginalis, marginal wood fern , Fern, Dryopteridaceae, North America, 3 to 8, 1.50 to 2.00 feet, 1.50 to 2.00 feet, Non-flowering, Non-flowering, Part shade to full shade, Medium, Low,,," Rabbit, Heavy Shade",, Evergreen,,, Winter Interest
Echinacea pallida, pale purple coneflower , Herbaceous perennial, Asteraceae, Eastern and central North America, 3 to 10, 2.00 to 3.00 feet, 1.00 to 1.50 feet, June to July, Pale purple, Full sun to part shade, Dry to medium, Low, Naturalize," Showy, Fragrant, Good Cut"," Deer, Drought, Clay Soil, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Echinacea purpurea, purple coneflower , Herbaceous perennial, Asteraceae, Eastern and central North America, 3 to 8, 2.00 to 5.00 feet, 1.50 to 2.00 feet, June to August, Purplish pink, Full sun to part shade, Dry to medium, Low, Naturalize," Showy, Good Cut"," Deer, Drought, Clay Soil, Dry Soil, Shallow-Rocky Soil",,," Birds, Butterflies",,
Echinacea simulata, wavyleaf purple coneflower , Herbaceous perennial, Asteraceae, Central United States, 5 to 8, 2.00 to 3.00 feet, 1.00 to 2.00 feet, June to July, Pale pinkish-purple, Full sun to part shade, Medium, Low,, Showy," Deer, Drought, Clay Soil, Dry Soil, Shallow-Rocky Soil",,," Birds, Butterflies",,
Eleocharis palustris, creeping spike rush , Rush or Sedge, Cyperaceae, Temperate northern hemisphere, 3 to 8, 2.00 to 4.00 feet, 1.00 to 2.00 feet, June to September, Greenish-brown, Full sun to part shade, Wet, Low," Water Plant, Naturalize, Rain Garden", Insignificant," Erosion, Wet Soil",,,,,
Elephantopus carolinianus, elephant's foot , Herbaceous perennial, Asteraceae," United States, West Indies", 4 to 9, 2.00 to 3.00 feet, 2.00 to 3.00 feet, August to September, White/lavender, Part shade, Dry to medium, Low, Ground Cover, Showy," Drought, Dry Soil",,,,,
Elodea canadensis, Canadian pondweed , Herbaceous perennial, Hydrocharitaceae, North America, 4 to 10, 0.25 to 0.25 feet, 1.00 to 3.00 feet, July to September, Greenish-white, Full sun, Wet, Medium," Water Plant, Naturalize, Rain Garden", Insignificant,,,,,,
Elymus hystrix, bottlebrush grass , Ornamental grass, Poaceae, Eastern-central United States, 5 to 9, 2.50 to 3.00 feet, 1.00 to 1.50 feet, September to October, Green maturing to brown, Full sun to part shade, Dry to medium, Low, Naturalize," Showy, Good Cut"," Drought, Heavy Shade, Erosion, Dry Soil, Black Walnut, Air Pollution",,, Birds,,
Elymus virginicus, Virginia wild rye , Ornamental grass, Poaceae, North America, 3 to 8, 2.00 to 4.00 feet, 1.00 to 2.00 feet, June to October, Greenish, Full sun to part shade, Medium, Low, Naturalize,," Deer, Erosion",,, Butterflies,,
Enemion biternatum, false rue anemone , Herbaceous perennial, Ranunculaceae, Eastern North America, 3 to 8, 0.50 to 0.75 feet, 0.25 to 0.50 feet, March to April, White, Part shade, Medium, Low,, Showy,,,,,,
Eragrostis spectabilis, purple lovegrass , Ornamental grass, Poaceae, North America, 5 to 9, 1.00 to 2.00 feet, 1.00 to 2.00 feet, July to August, Soft reddish-purple, Full sun, Dry to medium, Low, Naturalize," Showy, Good Cut, Good Dried"," Drought, Black Walnut, Air Pollution",,,,,
Eragrostis trichodes, sand lovegrass , Ornamental grass, Poaceae, United States, 5 to 9, 2.00 to 4.00 feet, 2.00 to 3.00 feet, July to August, Purple tinted, Full sun, Dry to medium, Medium, Naturalize, Showy," Drought, Erosion, Dry Soil, Black Walnut, Air Pollution",,,,, Winter Interest
Erigeron philadelphicus, common fleabane , Herbaceous perennial, Asteraceae, North America, 2 to 7, 2.00 to 2.50 feet, 1.00 to 1.50 feet, April to June, White rays with yellow center, Full sun, Dry to medium, Low, Naturalize, Showy," Deer, Drought",,, Butterflies,,
Erigeron pulchellus, Robin's plantain , Herbaceous perennial, Asteraceae, Eastern and south-central United States, 3 to 8, 1.50 to 2.00 feet, 1.50 to 2.00 feet, April to June, Pale violet rays with yellow center disk, Full sun, Dry to medium, Low," Ground Cover, Naturalize", Showy," Drought, Dry Soil",,, Butterflies,,
Eryngium aquaticum, eryngo , Herbaceous perennial, Apiaceae, Eastern North America, 6 to 8, 3.00 to 4.00 feet, 1.00 to 3.00 feet, September to October, White, Full sun to part shade, Medium to wet, Low, Water Plant, Showy," Drought, Dry Soil",,,,,
Eryngium yuccifolium, rattlesnake master , Herbaceous perennial, Apiaceae, United States, 3 to 8, 4.00 to 5.00 feet, 2.00 to 3.00 feet, June to September, Greenish-white, Full sun, Dry to medium, Low,, Showy," Drought, Erosion, Clay Soil, Dry Soil, Shallow-Rocky Soil",,, Butterflies,,
Erythronium albidum, white dog's-tooth violet , Herbaceous perennial, Liliaceae, Eastern North America, 3 to 8, 0.50 to 1.00 feet, 0.25 to 0.50 feet, April, White with yellow, Part shade to full shade, Medium, Medium, Naturalize, Showy,,, Colorful,,,
