,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Maintenance,Soil Type,Soil pH,Soil Drainage,Characteristics,Native Plants,Tolerance,Garden Uses,Garden Styles,Depth,Attracts,Spacing,Heat Zones
"diospyros virginiana
",4 – 10 What's My Zone?,"3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 18, 19, 20, 21, 22, 23","Fruit, Trees",Diospyros - Persimmons,"Full Sun, Partial Sun",Spring (Late)Summer (Early)FallWinter,35' – 60' (10.5m – 18m),25' – 35' (7.5m – 10.5m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Missouri, Nebraska, Ohio, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rocky Mountains, Utah, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Drought, Dry Soil, Rocky Soil",,Informal and Cottage,,Birds,,4 – 9 What's My Zone?
"diphylleia cymosa
",4 – 8 What's My Zone?,,Perennials,,"Partial Sun, Shade","Spring (Mid,Late)Summer (Early,Mid,Late)Fall",2' – 3' (60cm – 90cm),2' – 3' (60cm – 90cm),Average,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive","Showy, Fruit & Berries","United States, Southeast, Alabama, Georgia, North Carolina, South Carolina, Tennessee, Virginia",,"Ground Covers, Ponds and Streams, Underplanting Roses and Shrubs","Informal and Cottage, Prairie and Meadow",,,"24"" – 36""  (60cm – 90cm)",7 – 10 What's My Zone?
"dodecatheon meadia
",4 – 8 What's My Zone?,"7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Perennials,Dodecatheon - Shooting Stars,"Full Sun, Partial Sun, Shade",Spring (Late),"9"" – 2' (22cm – 60cm)","9"" – 1' (22cm – 30cm)",Average,Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Plant of Merit, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Maryland, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Clay Soil,"Beds and Borders, Underplanting Roses and Shrubs","Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,,"10"" – 12"" (25cm – 30cm)",1 – 8 What's My Zone?
"doellingeria umbellata
",3 – 9 What's My Zone?,,Perennials,Aster,"Full Sun, Partial Sun",Summer (Late)Fall,2' – 5' (60cm – 150cm),2' – 4' (60cm – 120cm),Average,Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Moisture Retentive",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Deer, Drought","Beds and Borders, Ponds and Streams","Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","36"" – 48"" (90cm – 120cm)",
"dracopis amplexicaulis
",2 – 11 What's My Zone?,,Annuals,Rudbeckia,Full Sun,"Spring (Mid,Late)Summer (Early,Mid)",1' – 2' (30cm – 60cm),1' – 2' (30cm – 60cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Kansas, Missouri, North Dakota, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, South Carolina, Southwest, New Mexico, Oklahoma, Texas",Drought,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","12"" – 18"" (30cm – 45cm)",
"dryopteris cristata
",2 – 7 What's My Zone?,,Ferns,Dryopteris - Ferns,"Full Sun, Partial Sun, Shade","Spring (Mid,Late)Summer (Early,Mid,Late)Fall",1' – 2' (30cm – 60cm),1' – 2' (30cm – 60cm),"Average, High",Low,"Clay, Loam","Acid, Neutral","Moist but Well-Drained, Moisture Retentive","Showy, Semi-Evergreen","United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Washington, Rocky Mountains, Montana, Southeast, Alabama, Georgia, North Carolina, Tennessee, Virginia, West Virginia",Wet Soil,"Ground Covers, Ponds and Streams",Informal and Cottage,,,"24"" (60cm)",1 – 7 What's My Zone?
"dryopteris marginalis
",3 – 8 What's My Zone?,,Ferns,Dryopteris - Ferns,"Partial Sun, Shade","Spring (Early,Mid,Late)Summer (Early,Mid,Late)FallWinter",1' – 2' (30cm – 60cm),1' – 2' (30cm – 60cm),Average,Low,"Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Showy, Evergreen","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma",Rabbit,Beds and Borders,"Gravel and Rock Garden, Informal and Cottage",,,"24"" (60cm)",
"echinacea purpurea
",3 – 8 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, A2, A3",Perennials,Echinacea - Coneflowers,Full Sun,"Spring (Mid,Late)Summer (Early,Mid,Late)",2' – 5' (60cm – 150cm),1' – 2' (30cm – 60cm),"Low, Average",Low,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Deer, Drought, Dry Soil, Rocky Soil",Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies, Hummingbirds","24"" (60cm)",1 – 9 What's My Zone?
"eleocharis acicularis
",3 – 9 What's My Zone?,,"Annuals, Aquatic Plants, Ornamental Grasses, Perennials",,Full Sun,"Spring (Mid,Late)Summer (Early,Mid,Late)Fall","3"" – 4"" (7cm – 10cm)","5"" – 6"" (12cm – 15cm)",High,Low,Sand,"Acid, Neutral","Moisture Retentive, Poorly Drained",Showy,"United States, Alaska, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas",Wet Soil,"Bog Gardens, Ground Covers, Ponds and Streams, Rain Gardens, Water Gardens",,,,"6"" (15cm)",
"elodea canadensis
",4 – 10 What's My Zone?,,Aquatic Plants,,Full Sun,"Summer (Early,Mid,Late)Fall","2"" – 3"" (5cm – 7cm)",1' – 3' (30cm – 90cm),High,Average,,"Acid, Alkaline, Neutral",Poorly Drained,Semi-Evergreen,"United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma",,"Ponds and Streams, Rain Gardens, Water Gardens",,,,"12"" – 36"" (30cm – 90cm)",
"elymus hystrix
",5 – 9 What's My Zone?,,Ornamental Grasses,,"Full Sun, Partial Sun","Summer (Early,Mid,Late)Fall",2' – 3' (60cm – 90cm),1' – 2' (30cm – 60cm),Low,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Oklahoma","Drought, Dry Soil",,"Informal and Cottage, Prairie and Meadow",,Butterflies,"18"" – 24"" (45cm – 60cm)",
"enemion biternatum
",3 – 8 What's My Zone?,,Perennials,,Partial Sun,"Spring (Early,Mid,Late)","6"" – 10"" (15cm – 25cm)","3"" – 6"" (7cm – 15cm)",Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Ohio, South Dakota, Wisconsin, Northeast, New York, Southeast, Alabama, Arkansas, Florida, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma",,Underplanting Roses and Shrubs,"Gravel and Rock Garden, Prairie and Meadow",,,"6"" (15cm)",
"eragrostis spectabilis
",5 – 10 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Ornamental Grasses,,Full Sun,Summer (Late)Fall,1' – 2' (30cm – 60cm),1' – 2' (30cm – 60cm),"Low, Average",Low,"Chalk, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Dried Arrangements, Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Rocky Mountains, Colorado, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Oklahoma, Texas","Deer, Drought, Dry Soil","Banks and Slopes, Beds and Borders","City and Courtyard, Informal and Cottage, Prairie and Meadow",,,"24"" – 30"" (60cm – 75cm)",
"erigeron pulchellus
",3 – 8 What's My Zone?,,Perennials,Erigeron - Fleabanes,Full Sun,"Spring (Mid,Late)Summer (Early)",1' – 2' (30cm – 60cm),1' – 2' (30cm – 60cm),"Low, Average",Low,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Drought, Dry Soil",Beds and Borders,"Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,Butterflies,"24"" (60cm)",
"erigeron quercifolius
",8 – 11 What's My Zone?,,Perennials,Erigeron - Fleabanes,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)",1' – 2' (30cm – 60cm),"6"" – 9"" (15cm – 22cm)","Low, Average",Low,Sand,"Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia",Drought,Ground Covers,Prairie and Meadow,,,"6"" – 9"" (15cm – 22cm)",
"erythrina herbacea
",8 – 11 What's My Zone?,,"Shrubs, Trees",,"Full Sun, Partial Sun","Spring (Early,Mid,Late)Summer (Early,Mid,Late)Fall",6' – 12' (180cm – 3.6m),3' – 6' (90cm – 180cm),Low,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Southwest, Texas","Drought, Dry Soil, Salt",,"Coastal Garden, Informal and Cottage, Mediterranean Garden",,Hummingbirds,"60"" – 72"" (150cm – 180cm)",
"erythronium albidum
",3 – 8 What's My Zone?,,"Bulbs, Perennials",Erythronium - Dog Tooth Violets,"Partial Sun, Shade","Spring (Early,Mid)","6"" – 1' (15cm – 30cm)","3"" – 6"" (7cm – 15cm)",Average,Low,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, South Dakota, Wisconsin, Northeast, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",,"Ground Covers, Ponds and Streams, Underplanting Roses and Shrubs","Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow","2"" – 3"" (5cm – 7cm)",,"4"" – 5"" (10cm – 12cm)",
"erythronium americanum
",3 – 9 What's My Zone?,,"Bulbs, Perennials",Erythronium - Dog Tooth Violets,"Partial Sun, Shade",Spring (Mid),"4"" – 6"" (10cm – 15cm)","4"" – 6"" (10cm – 15cm)",Average,Low,"Chalk, Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",,"Ponds and Streams, Underplanting Roses and Shrubs","Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow","2"" – 3"" (5cm – 7cm)",,"4"" – 5"" (10cm – 12cm)",2 – 9 What's My Zone?
"eubotrys racemosus
",5 – 9 What's My Zone?,,Shrubs,,"Partial Sun, Shade","Spring (Early,Mid,Late)Summer (Early,Mid,Late)Fall",3' – 6' (90cm – 180cm),3' – 6' (90cm – 180cm),"Average, High",Low,"Clay, Loam, Sand",Acid,"Moist but Well-Drained, Poorly Drained","Fragrant, Showy","United States, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Texas",Deer,"Banks and Slopes, Beds and Borders, Underplanting Roses and Shrubs","Informal and Cottage, Prairie and Meadow",,Butterflies,"36"" – 72"" (90cm – 180cm)",
"euonymus americanus
",6 – 9 What's My Zone?,"3, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17",Shrubs,Euonymus,Partial Sun,"Spring (Late)Summer (Early,Late)Fall",4' – 6' (120cm – 180cm),4' – 6' (120cm – 180cm),Average,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Missouri, Ohio, Northeast, Delaware, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Clay Soil,Hedges and Screens,"Informal and Cottage, Prairie and Meadow",,Birds,"48"" – 72"" (120cm – 180cm)",
"eupatorium altissimum
",4 – 8 What's My Zone?,,Perennials,Eupatorium - Joe-Pye Weeds,"Full Sun, Partial Sun","Summer (Mid,Late)Fall",2' – 6' (60cm – 180cm),2' – 3' (60cm – 90cm),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Deer, Drought, Dry Soil",Ground Covers,"Informal and Cottage, Prairie and Meadow",,Butterflies,"30"" – 36"" (75cm – 90cm)",
"eupatorium capillifolium
",6 – 9 What's My Zone?,,Perennials,Eupatorium - Joe-Pye Weeds,"Full Sun, Partial Sun",Summer (Late)Fall,3' – 6' (90cm – 180cm),2' – 3' (60cm – 90cm),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Plant of Merit, Showy","United States, Midwest, Missouri, Northeast, Delaware, Massachusetts, Maryland, New Jersey, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",,"Beds and Borders, Patio and Containers","City and Courtyard, Informal and Cottage, Prairie and Meadow",,Butterflies,"24"" – 36"" (60cm – 90cm)",
"eupatorium perfoliatum
",3 – 8 What's My Zone?,,Perennials,Eupatorium - Joe-Pye Weeds,"Full Sun, Partial Sun","Summer (Early,Mid,Late)Fall",4' – 6' (120cm – 180cm),3' – 4' (90cm – 120cm),"Average, High",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive","Dried Arrangements, Cut Flowers, Fragrant, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Deer, Wet Soil","Beds and Borders, Bog Gardens, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","48"" (120cm)",
"eupatorium serotinum
",3 – 9 What's My Zone?,,Perennials,Eupatorium - Joe-Pye Weeds,"Full Sun, Partial Sun",Fall,3' – 6' (90cm – 180cm),,Average,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Deer,,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies",,
"euphorbia corollata
",3 – 9 What's My Zone?,,Perennials,Euphorbia - Spurges,"Full Sun, Partial Sun","Summer (Early,Mid,Late)Fall",2' – 3' (60cm – 90cm),2' – 3' (60cm – 90cm),Low,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Deer, Rabbit","Beds and Borders, Ground Covers","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","24"" – 36"" (60cm – 90cm)",
"eurybia divaricata
",3 – 8 What's My Zone?,,Perennials,Aster,"Partial Sun, Shade",Summer (Late)Fall,1' – 3' (30cm – 90cm),1' – 3' (30cm – 90cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Showy","United States, Midwest, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Deer, Drought, Rabbit, Dry Soil, Rocky Soil","Banks and Slopes, Beds and Borders","City and Courtyard, Informal and Cottage, Traditional Garden",,Butterflies,"30"" – 36"" (75cm – 90cm)",1 – 9 What's My Zone?
"euthamia graminifolia
",3 – 9 What's My Zone?,,Perennials,Solidago - Goldenrods,Full Sun,"Summer (Mid,Late)Fall",3' – 6' (90cm – 180cm),1' – 2' (30cm – 60cm),"Low, Average",Low,"Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Washington, Rocky Mountains, Colorado, Montana, Wyoming, Southeast, Alabama, Florida, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico","Drought, Dry Soil",,"Coastal Garden, Prairie and Meadow",,"Birds, Butterflies","24"" (60cm)",
"eutrochium fistulosum
",4 – 10 What's My Zone?,,Perennials,Eupatorium - Joe-Pye Weeds,"Full Sun, Partial Sun","Summer (Mid,Late)Fall",4' – 7' (120cm – 210cm),2' – 4' (60cm – 120cm),"Average, High",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Poorly Drained","Fragrant, Showy","United States, Midwest, Illinois, Indiana, Michigan, Missouri, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Deer, Wet Soil","Beds and Borders, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","48"" (120cm)",
"eutrochium purpureum
",3 – 9 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17",Perennials,Eupatorium - Joe-Pye Weeds,"Full Sun, Partial Sun","Summer (Mid,Late)Fall",5' – 7' (150cm – 210cm),2' – 4' (60cm – 120cm),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Fragrant, Plant of Merit, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma","Clay Soil, Deer, Wet Soil",Beds and Borders,"Coastal Garden, Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","36"" – 48"" (90cm – 120cm)",1 – 9 What's My Zone?
"fagus grandifolia
",3 – 9 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6",Trees,Fagus - Beeches,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)FallWinter",50' – 80' (15m – 24m),40' – 80' (12m – 24m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Michigan, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Utah, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Texas",Deer,,,,,,1 – 9 What's My Zone?
"festuca rubra
",2 – 7 What's My Zone?,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, A2, A3",Ornamental Grasses,Festuca - Fescues,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)Fall",1' – 2' (30cm – 60cm),,"Low, Average","Low, Average","Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Alaska, California, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Texas","Deer, Drought",Ground Covers,"Informal and Cottage, Prairie and Meadow",,Butterflies,"12"" – 24"" (30cm – 60cm)",
"fothergilla gardenii
",5 – 8 What's My Zone?,"2, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17",Shrubs,Fothergilla,"Full Sun, Partial Sun","Spring (Mid,Late)Summer (Early,Mid,Late)Fall",2' – 3' (60cm – 90cm),2' – 3' (60cm – 90cm),Average,Low,"Clay, Loam, Sand",Acid,Moist but Well-Drained,"Fragrant, Showy","United States, Southeast, Alabama, Florida, Georgia, North Carolina, South Carolina",,"Rain Gardens, Small Gardens","Informal and Cottage, Traditional Garden",,,"36"" (90cm)",1 – 9 What's My Zone?
