,Hardiness,Climate Zones,Plant Type,Plant Family,Exposure,Season of Interest,Height,Spread,Water Needs,Maintenance,Soil Type,Soil pH,Soil Drainage,Characteristics,Native Plants,Tolerance,Garden Uses,Garden Styles,Depth,Attracts,Spacing,Heat Zones
Carex pensylvanica,3 to 8,,Ornamental Grasses,Carex - Sedges,"Partial Sun, Shade","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",1' to 2' (30cm to 60cm),1' (30cm),"Low, Average",Low,"Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Semi-Evergreen","United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Deer, Drought, Dry Soil, Wet Soil","Edging, Ground Covers, Rain Gardens, Underplanting Roses and Shrubs",,,"Birds, Butterflies","6"" to 10"" (15cm  to 25cm)",
Carex plantaginea,4 to 8,,Ornamental Grasses,Carex - Sedges,"Partial Sun, Shade","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter","8"" to 2' (20cm to 60cm)",1' to 2' (30cm to 60cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Ohio, Wisconsin, Northeast, Connecticut, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Vermont, Southeast, Alabama, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Deer, Drought, Dry Soil",Ground Covers,"Gravel and Rock Garden, Informal and Cottage",,"Birds, Butterflies","12"" to 24"" (30cm to 60cm)",
Carex stricta,3 to 8,,"Ornamental Grasses, Perennials",Carex - Sedges,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",1' to 3' (30cm to 90cm),1' to 2' (30cm to 60cm),"Average, High",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive, Poorly Drained","Showy, Evergreen","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Arkansas, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Texas","Clay Soil, Deer, Wet Soil","Ground Covers, Ponds and Streams",Informal and Cottage,,"Birds, Butterflies","24"" (60cm)",3 to 9
Carpinus caroliniana,3 to 9,"1, 2, 3, 4, 5, 6, 7, 8, 9, 14, 15, 16, 17",Trees,,"Full Sun, Partial Sun, Shade","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",20' to 30' (6m to 9m),20' to 30' (6m to 9m),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Dry Soil, Wet Soil",,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies",,1 to 9
Carya cordiformis,4 to 9,,Trees,Carya - Hickories,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",50' to 80' (15m to 24m),30' to 50' (9m to 15m),Average,Low,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",,,Prairie and Meadow,,"Birds, Butterflies",,1 to 9
Carya glabra,5 to 9,,Trees,Carya - Hickories,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",50' to 80' (15m to 24m),30' to 40' (9m to 12m),Average,Low,"Chalk, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Kansas, Michigan, Missouri, Ohio, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",,,Prairie and Meadow,,"Birds, Butterflies",,1 to 8
Carya illinoinensis,5 to 9,,Trees,Carya - Hickories,Full Sun,"Spring (Mid,Late)-Summer (Early,Mid,Late)-",70' to 100' (21m to 30m),40' to 70' (12m to 21m),Average,Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Missouri, Ohio, Northeast, Maryland, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas",,,Prairie and Meadow,,,,
Carya ovata,4 to 8,,Trees,Carya - Hickories,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",70' to 80' (21m to 24m),50' to 70' (15m to 21m),"Low, Average",Low,"Chalk, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Deer, Dry Soil",,Prairie and Meadow,,"Birds, Butterflies",,1 to 8
Castanea pumila,5 to 9,,"Shrubs, Trees",Castanea - Chestnuts,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-Fall",15' to 30' (4.5m to 9m),10' to 20' (3m to 6m),Low,Average,"Loam, Sand","Acid, Neutral",Well-Drained,"Showy, Fruit & Berries","United States, Midwest, Indiana, Missouri, Ohio, Northeast, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Drought,,Prairie and Meadow,,Butterflies,,
Catalpa bignonioides,5 to 9,"3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Trees,Catalpa,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",30' to 60' (9m to 18m),20' to 40' (6m to 12m),Average,Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Plant of Merit, Showy","United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Missouri, North Dakota, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Jersey, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Oregon, Rocky Mountains, Utah, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona, Oklahoma, Texas","Clay Soil, Deer, Drought",,Prairie and Meadow,,Hummingbirds,,5 to 9
Catalpa speciosa,4 to 8,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Trees,Catalpa,"Full Sun, Partial Sun","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",50' to 70' (15m to 21m),20' to 50' (6m to 15m),Average,Average,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,"Plant of Merit, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Maine, Massachusetts, Maryland, New Hampshire, New York, Pennsylvania, Rhode Island, Utah, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Clay Soil, Deer",,Prairie and Meadow,,Hummingbirds,,1 to 8
Caulophyllum thalictroides,3 to 8,,Perennials,,"Partial Sun, Shade","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",1' to 3' (30cm to 90cm),"6"" to 1' (15cm to 30cm)",Average,Low,"Clay, Loam","Acid, Neutral",Moist but Well-Drained,"Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma",,,"Informal and Cottage, Prairie and Meadow",,,"12"" (30cm)",
Ceanothus americanus,4 to 8,,Shrubs,Ceanothus - California Lilac,"Full Sun, Partial Sun","Spring (Mid,Late)-",3' to 4' (90cm to 120cm),3' to 5' (90cm to 150cm),"Low, Average",Low,"Loam, Sand",Neutral,"Moist but Well-Drained, Well-Drained","Cut Flowers, Fragrant, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Drought, Dry Soil, Rocky Soil","Banks and Slopes, Beds and Borders, Ground Covers",,,"Birds, Butterflies, Hummingbirds","48"" to 60"" (120cm to 150cm)",
Celastrus scandens,3 to 8,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 10, A3",Climbers,,Full Sun,"Spring (Mid,Late)-Summer (Early,Mid,Late)-FallWinter",15' to 20' (4.5m to 6m),3' to 6' (90cm to 180cm),"Low, Average",Low,"Chalk, Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Dried Arrangements, Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Rocky Mountains, Montana, Wyoming, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas","Deer, Drought, Dry Soil","Arbors, Pergolas, Trellises, Ground Covers, Wall-Side Borders, Walls and Fences",,,Birds,"36""  to 72"" (90cm to 180cm)",1 to 8
Celtis occidentalis,2 to 9,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24",Trees,,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",40' to 60' (12m to 18m),40' to 60' (12m to 18m),"Low, Average",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Showy, Fruit & Berries","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Rocky Mountains, Colorado, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Oklahoma, Texas","Clay Soil, Drought, Dry Soil, Wet Soil",,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies, Hummingbirds",,1 to 9
Centrosema virginianum,5 to 11,,"Climbers, Perennials",,"Full Sun, Partial Sun","Summer (Mid,Late)-",5' to 6' (150cm to 180cm),,Average,Low,"Loam, Sand","Acid, Alkaline, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Illinois, Missouri, Northeast, Delaware, Maryland, New Jersey, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas",Drought,"Arbors, Pergolas, Trellises, Ground Covers",Informal and Cottage,,Butterflies,,
Cephalanthus occidentalis,5 to 11,,Shrubs,,"Full Sun, Partial Sun","Summer (Early,Mid,Late)-Fall",5' to 12' (150cm to 3.6m),4' to 8' (120cm to 240cm),"Average, High",Low,"Loam, Sand","Acid, Neutral","Moist but Well-Drained, Moisture Retentive","Fragrant, Showy, Fruit & Berries","United States, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona, Oklahoma, Texas",Wet Soil,"Beds and Borders, Bog Gardens, Ponds and Streams, Rain Gardens",Informal and Cottage,,"Butterflies, Hummingbirds","72"" to 96"" (180cm to 240cm)",
Ceratiola ericoides,8 to 10,,Shrubs,,Full Sun,"Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-Winter",4' to 8' (120cm to 240cm),4' to 8' (120cm to 240cm),Low,Low,Sand,"Acid, Alkaline, Neutral",Well-Drained,"Fragrant, Evergreen, Fruit & Berries","United States, Southeast, Alabama, Florida, Georgia, Mississippi, South Carolina","Drought, Dry Soil",,Coastal Garden,,Birds,"36"" to 72"" (90cm to 180cm)",
Ceratophyllum demersum,5 to 11,,Aquatic Plants,,"Full Sun, Partial Sun, Shade","Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall","4"" to 10' (10cm to 3m)",,High,Low,"Clay, Loam","Acid, Alkaline, Neutral",Poorly Drained,,"United States, Alaska, California, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Pacific Northwest, Idaho, Oregon, Washington, Rocky Mountains, Colorado, Montana, Utah, Wyoming, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Nevada, Arizona, New Mexico, Oklahoma, Texas",,"Ponds and Streams, Water Gardens",,,,,
Chamaecrista fasciculata,,,Annuals,,Full Sun,"Summer (Early,Mid,Late)-Fall",1' to 3' (30cm to 90cm),1' to 3' (30cm to 90cm),Low,Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, New Mexico, Oklahoma, Texas","Drought, Dry Soil",Banks and Slopes,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","24"" to 36"" (60cm to 90cm)",
Chamaecyparis thyoides,3 to 8,"1, 1A, 1B, 2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 15, 16, 17","Conifers, Trees","Cupressus - Cypresses, Chamaecyparis - False Cypress","Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-FallWinter",30' to 50' (9m to 15m),12' to 15' (3.6m to 4.5m),"Average, High",Low,"Loam, Sand","Acid, Neutral",Moist but Well-Drained,"Fragrant, Showy, Evergreen","United States, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Alabama, Florida, Georgia, Mississippi, North Carolina, South Carolina, Virginia",Wet Soil,,"Informal and Cottage, Prairie and Meadow",,,,1 to 8
Chelone glabra,3 to 8,,Perennials,Chelone - Turtleheads,Partial Sun,Summer (Late)-Fall,2' to 3' (60cm to 90cm),1' to 3' (30cm to 90cm),"Average, High",Low,"Chalk, Clay, Loam","Acid, Alkaline, Neutral","Moist but Well-Drained, Poorly Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",Wet Soil,"Beds and Borders, Bog Gardens, Ponds and Streams, Rain Gardens",Informal and Cottage,,"Butterflies, Hummingbirds","18"" to 30"" (45cm to 75cm)",
Chelone obliqua,5 to 9,,Perennials,Chelone - Turtleheads,"Full Sun, Partial Sun","Summer (Mid,Late)-Fall",2' to 3' (60cm to 90cm),1' to 2' (30cm to 60cm),"Average, High",Low,"Clay, Loam","Acid, Alkaline, Neutral","Moist but Well-Drained, Poorly Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, Northeast, Massachusetts, Maryland, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia","Clay Soil, Wet Soil","Beds and Borders, Bog Gardens, Ponds and Streams, Rain Gardens","Informal and Cottage, Prairie and Meadow",,,"18"" to 24"" (45cm to 60cm)",3 to 9
Chimaphila maculata,5 to 8,,Perennials,,"Partial Sun, Shade","Summer (Early,Mid,Late)-","6"" to 1' (15cm to 30cm)","6"" to 9"" (15cm to 22cm)",Low,Low,Sand,"Acid, Neutral",Well-Drained,"Showy, Evergreen","United States, Midwest, Illinois, Indiana, Michigan, Ohio, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Florida, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Arizona","Deer, Dry Soil","Ground Covers, Underplanting Roses and Shrubs",Informal and Cottage,,,"6"" to 9"" (15cm to 22cm)",
Chrysogonum virginianum,5 to 9,,Perennials,,Partial Sun,"Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall","6"" to 1' (15cm to 30cm)",1' to 2'  (30cm to 60cm),Average,Low,"Chalk, Clay, Loam, Sand","Acid, Neutral",Moist but Well-Drained,Showy,"United States, Midwest, Ohio, Northeast, Maryland, New York, Pennsylvania, Southeast, Alabama, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",,"Beds and Borders, Edging, Ground Covers","Gravel and Rock Garden, Prairie and Meadow",,,"18"" (45cm)",2 to 9
Chrysopsis mariana,4 to 9,,Perennials,,"Full Sun, Partial Sun",Summer (Late)-Fall,1' to 3' (30cm to 90cm),1' to 2' (30cm to 60cm),"Low, Average",Low,"Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Showy","United States, Midwest, Ohio, Northeast, Delaware, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Texas","Deer, Drought, Dry Soil, Rocky Soil",Beds and Borders,"Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow",,Butterflies,"24"" (60cm)",
Cirsium altissimum,3 to 9,,Perennials,Cirsium - Thistles,"Full Sun, Partial Sun","Summer (Mid,Late)-Fall",3' to 7' (90cm to 210cm),1' to 2' (30cm to 60cm),"Low, Average",Low,"Clay, Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained","Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New York, Pennsylvania, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, West Virginia, Southwest, Oklahoma, Texas",Deer,,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies, Hummingbirds","18"" to 24"" (45cm to 60cm)",
Cirsium discolor,3 to 9,,Perennials,Cirsium - Thistles,"Full Sun, Partial Sun","Summer (Early,Mid,Late)-Fall",2' to 6' (60cm to 180cm),1' to 2' (30cm to 60cm),Low,Low,"Clay, Loam","Acid, Alkaline, Neutral",Well-Drained,"Cut Flowers, Showy","United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, North Dakota, Ohio, South Dakota, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia",Deer,Beds and Borders,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies","18"" to 24"" (45cm to 60cm)",
Cirsium horridulum,8 to 11,,"Annuals, Perennials",Cirsium - Thistles,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-",1' to 4' (30cm to 120cm),,"Low, Average",Low,"Loam, Sand","Acid, Alkaline, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Florida, Georgia, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Nevada, Oklahoma, Texas","Drought, Dry Soil",,"Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies, Hummingbirds",,
Cirsium muticum,2 to 9,,Perennials,Cirsium - Thistles,"Full Sun, Partial Sun","Summer (Mid,Late)-Fall",2' to 7' (60cm to 210cm),,"Average, High",Low,Sand,"Acid, Alkaline, Neutral","Moist but Well-Drained, Moisture Retentive",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Michigan, Minnesota, Missouri, North Dakota, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Maine, Massachusetts, Maryland, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Deer,"Bog Gardens, Ponds and Streams","Informal and Cottage, Prairie and Meadow",,"Birds, Butterflies, Hummingbirds",,
Cladrastis kentukea,4 to 9,"2, 2A, 2B, 3, 3A, 3B, 4, 5, 6, 7, 8, 9, 14, 15, 16",Trees,,Full Sun,"Spring (Mid,Late)-Summer (Early,Mid,Late)-Fall",30' to 50' (9m to 15m),40' to 50' (12m to 15m),Average,Low,"Chalk, Loam, Sand","Acid, Alkaline, Neutral",Well-Drained,"Fragrant, Showy","United States, Midwest, Illinois, Indiana, Missouri, Ohio, Northeast, Connecticut, Maine, Massachusetts, New York, Pennsylvania, Rhode Island, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Southwest, Oklahoma",,,"Informal and Cottage, Traditional Garden",,,,1 to 9
Claytonia virginica,4 to 9,,"Bulbs, Perennials",,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-","6"" to 10"" (15cm to 25cm)","6"" to 10"" (15cm to 25cm)","Low, Average",Average,"Chalk, Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Iowa, Kansas, Michigan, Minnesota, Missouri, Nebraska, Ohio, Wisconsin, Northeast, Connecticut, Delaware, Massachusetts, Maryland, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Southeast, Alabama, Arkansas, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia, Southwest, Oklahoma, Texas",Dry Soil,Ground Covers,"Gravel and Rock Garden, Informal and Cottage, Prairie and Meadow","3"" (7cm)",,"3"" (7cm)",1 to 6
Clematis crispa,6 to 9,,Climbers,Clematis,"Full Sun, Partial Sun","Spring (Early,Mid,Late)-Summer (Early,Mid,Late)-Fall",6' to 10' (180cm to 3m),3' to 6' (90cm to 180cm),"Average, High",Low,"Clay, Loam, Sand","Acid, Neutral","Moist but Well-Drained, Moisture Retentive","Cut Flowers, Fragrant, Showy","United States, Midwest, Illinois, Missouri, Southeast, Alabama, Arkansas, Florida, Georgia, Kentucky, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, Southwest, Oklahoma, Texas","Clay Soil, Deer, Wet Soil","Arbors, Pergolas, Trellises, Ground Covers, Walls and Fences",Informal and Cottage,,"Birds, Butterflies, Hummingbirds","36"" to 72"" (90cm to 180cm)",
Clematis viorna,4 to 9,,Climbers,Clematis,"Full Sun, Partial Sun","Spring (Late)-Summer (Early,Mid,Late)-Fall",8' to 12' (240cm to 3.6m),3' to 5' (90cm to 150cm),Average,Low,"Clay, Loam, Sand",Neutral,"Moist but Well-Drained, Well-Drained",Showy,"United States, Midwest, Illinois, Indiana, Missouri, Ohio, Northeast, Delaware, Maryland, Pennsylvania, Southeast, Alabama, Arkansas, Georgia, Kentucky, Mississippi, North Carolina, South Carolina, Tennessee, Virginia, West Virginia","Deer, Rabbit","Arbors, Pergolas, Trellises",Informal and Cottage,,"Birds, Butterflies, Hummingbirds","36"" to 72"" (90cm to 180cm)",
