,Active Growth Period,After Harvest Regrowth Rate,Bloat,C:N Ratio,Coppice Potential,Fall Conspicuous,Fire Resistant,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit/Seed Color,Fruit/Seed Conspicuous,Growth Form,Growth Rate,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Low Growing Grass,Nitrogen Fixation,Resprout Ability,Shape and Orientation,Toxicity,Adapted to Coarse Textured Soils,Adapted to Fine Textured Soils,Adapted to Medium Textured Soils,Anaerobic Tolerance,CaCO3 Tolerance,Cold Stratification Required,Drought Tolerance,Fertility Requirement,Fire Tolerance,"Frost Free Days, Minimum",Hedge Tolerance,Moisture Use,"pH, Maximum","pH, Minimum","Planting Density per Acre, Maximum","Planting Density per Acre, Minimum","Precipitation, Maximum","Precipitation, Minimum","Root Depth, Minimum (inches)",Salinity Tolerance,Shade Tolerance,"Temperature, Minimum (°F)",Bloom Period,Commercial Availability,Fruit/Seed Abundance,Fruit/Seed Period Begin,Fruit/Seed Period End,Fruit/Seed Persistence,Propagated by Bare Root,Propagated by Bulb,Propagated by Container,Propagated by Corm,Propagated by Cuttings,Propagated by Seed,Propagated by Sod,Propagated by Sprigs,Propagated by Tubers,Seed per Pound,Seed Spread Rate,Seedling Vigor,Small Grain,Vegetative Spread Rate,Berry/Nut/Seed Product,Christmas Tree Product,Fodder Product,Lumber Product,Naval Store Product,Nursery Stock Product,Palatable Browse Animal,Palatable Graze Animal,Palatable Human,Post Product,Protein Potential,Pulpwood Product,Veneer Product,"Height at 20 Years, Maximum (feet)",Lifespan,Fuelwood Product
CAIL2,Spring and Summer,,None,High,No,No,No,Yellow,No,Yellow-Green,Dense,Porous,Fine,Brown,Yes,Single Stem,Slow,120.0,No,No,No,None,Yes,Erect,None,Yes,Yes,Yes,None,Low,Yes,Low,High,Low,180,Low,High,7.5,4.5,700,300,79,28,32,None,Intolerant,-21,Early Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,130,Slow,Medium,No,Slow,Yes,No,No,Yes,No,Yes,Low,Low,Yes,No,Low,No,Yes,35,Long,High
CALA21,Spring and Summer,,None,High,Yes,No,No,Yellow,No,Green,Dense,Porous,Coarse,Brown,Yes,Single Stem,Slow,100.0,No,No,No,None,Yes,Erect,None,Yes,No,Yes,Low,High,Yes,Low,High,Medium,150,None,High,6.6,5.0,700,170,60,30,60,None,Tolerant,-22,Mid Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,30,Slow,Low,No,None,Yes,No,No,Yes,Yes,No,Low,Low,Yes,No,Low,No,Yes,35,Long,High
CAMY,Spring and Summer,,None,High,No,Yes,No,Yellow,No,Green,Moderate,Porous,Coarse,Brown,Yes,Single Stem,Slow,95.0,No,No,No,None,Yes,Erect,None,No,Yes,Yes,Low,Low,Yes,Low,Medium,Low,240,None,Medium,6.5,4.7,700,300,60,40,48,None,Intolerant,-10,Mid Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,124,Slow,High,No,None,Yes,No,No,Yes,Yes,No,Low,,Yes,No,,Yes,No,30,Moderate,High
CAOV2,Spring and Summer,,None,High,No,Yes,No,Yellow,Yes,Green,Moderate,Porous,Coarse,Brown,Yes,Single Stem,Slow,75.0,No,No,No,None,Yes,Erect,None,Yes,Yes,Yes,None,Medium,Yes,Medium,Medium,Medium,140,None,Medium,7.3,4.0,700,300,80,29,48,Low,Intermediate,-40,Late Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,96,Slow,High,No,None,Yes,No,No,Yes,Yes,No,Low,Low,Yes,No,,Yes,No,15,Long,High
CATO6,Spring and Summer,,None,High,Yes,Yes,No,Yellow,No,Green,Dense,Porous,Coarse,Brown,Yes,Single Stem,Slow,85.0,No,No,No,None,Yes,Erect,None,Yes,Yes,Yes,None,High,No,Medium,Medium,Medium,160,None,Medium,6.9,4.7,700,170,80,32,50,None,Intermediate,-33,Mid Spring,Field Collections Only,Medium,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,73,Slow,Low,No,None,No,No,No,Yes,Yes,No,Low,Low,Yes,No,Low,Yes,Yes,18,Moderate,High
CADE12,Spring,,Low,Low,Yes,Yes,No,White,No,Yellow-Green,Dense,Porous,Coarse,Brown,Yes,Single Stem,Rapid,115.0,No,No,No,None,Yes,Erect,None,No,No,Yes,None,None,Yes,Medium,Medium,None,150,None,Medium,6.5,5.5,300,170,60,35,20,None,Intolerant,-33,Early Summer,Field Collections Only,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,100,None,High,No,None,Yes,No,No,Yes,No,Yes,Low,Low,Yes,Yes,Low,Yes,Yes,35,Long,High
CACO17,Spring and Summer,Slow,None,Low,No,No,No,Red,Yes,Green,Porous,Porous,Fine,Brown,No,Single Crown,Rapid,1.6,No,No,No,None,No,Erect,None,No,No,Yes,Low,Medium,No,Low,Low,None,75,None,Medium,6.8,4.9,,,55,25,8,None,Tolerant,-28,Mid Spring,Routinely Available,High,Spring,Summer,No,No,No,No,No,No,Yes,No,No,No,325000,Moderate,Medium,No,None,No,No,No,No,No,No,,,No,No,,No,No,,,
CABI8,Spring,,None,,No,No,No,White,Yes,Green,Dense,Porous,Coarse,Green,Yes,Single Crown,Rapid,66.0,No,No,No,None,Yes,Erect,None,Yes,No,Yes,None,Medium,No,Medium,Medium,None,140,Low,Low,7.5,5.5,700,170,65,30,36,None,Intermediate,-18,Mid Spring,Routinely Available,Medium,Summer,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,20480,Slow,Medium,No,None,No,No,No,No,No,Yes,Medium,Medium,No,Yes,,No,No,66,Long,Medium
CASP8,Spring,,None,High,No,Yes,No,White,Yes,Dark Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Rapid,60.0,No,No,No,Low,Yes,Erect,None,Yes,No,Yes,None,Low,No,Medium,Medium,None,90,None,Low,7.0,5.5,1200,100,80,20,20,Low,Intolerant,-38,Early Summer,Routinely Available,Medium,Fall,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,20480,Slow,Medium,No,Slow,No,No,No,Yes,No,Yes,Low,Low,No,Yes,Low,Yes,No,20,Long,High
CATH2,Spring and Summer,,None,Medium,No,No,No,Purple,No,Green,Porous,Porous,Medium,Brown,Yes,Multiple Stem,Moderate,2.5,No,No,No,None,No,Erect,None,No,No,Yes,Low,Low,Yes,Low,High,Low,120,None,Medium,7.0,4.5,11000,4800,60,35,16,None,Tolerant,-33,Mid Summer,No Known Source,Low,Spring,Summer,No,Yes,No,Yes,Yes,No,No,No,Yes,No,,Slow,Low,No,None,No,No,No,No,No,No,Low,Low,Yes,No,Low,No,No,,Moderate,
CEAM,Spring and Summer,,None,High,No,No,No,Blue,No,Green,Dense,Moderate,Medium,Brown,No,Multiple Stem,Slow,3.0,No,No,No,Low,Yes,Semi-Erect,None,Yes,No,Yes,None,Medium,Yes,High,Low,Medium,120,Low,Low,6.5,4.3,4800,2700,60,25,14,None,Tolerant,-28,Late Spring,Routinely Available,Low,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,112000,Slow,Low,No,Slow,No,No,No,No,No,Yes,Medium,Low,Yes,No,Low,No,No,3,Moderate,
CESC,Spring and Summer,,None,High,No,Yes,No,White,No,Green,,,Coarse,Orange,Yes,Thicket Forming,Rapid,15.0,No,No,No,None,No,Columnar,None,Yes,Yes,Yes,None,Medium,Yes,Medium,Medium,High,110,None,High,7.5,5.0,4800,1200,60,30,18,None,Tolerant,-38,Spring,Routinely Available,High,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,26080,Moderate,Medium,No,Rapid,No,No,No,No,No,Yes,Low,Low,No,No,Low,No,No,,Moderate,
CELA,Spring and Summer,,None,High,No,Yes,No,Green,No,Green,Moderate,Porous,Medium,Orange,No,Single Stem,Moderate,80.0,Yes,No,No,None,Yes,Erect,None,No,Yes,Yes,Medium,Medium,Yes,Low,Medium,Medium,150,Low,High,7.7,4.4,300,170,80,20,24,Low,Tolerant,-21,Early Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,2200,Slow,Medium,No,None,No,No,No,Yes,Yes,Yes,Low,Low,No,Yes,,No,Yes,35,Moderate,Medium
CEOC,Spring and Summer,,None,High,No,Yes,No,Green,No,Green,Dense,Porous,Coarse,Purple,No,Single Stem,Rapid,60.0,No,No,No,None,Yes,Erect,None,Yes,Yes,Yes,Medium,Medium,Yes,High,Medium,Low,120,Medium,Low,7.8,6.0,300,170,60,14,36,Low,Tolerant,-47,Mid Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,43000,Moderate,Medium,No,None,No,No,No,Yes,No,Yes,Medium,Low,No,No,Low,No,No,26,Moderate,High
CEOC2,Spring,,None,Medium,No,No,No,White,Yes,Green,Moderate,Porous,Coarse,White,Yes,Multiple Stem,Moderate,15.0,No,No,No,None,Yes,Erect,None,Yes,Yes,Yes,High,Medium,No,Medium,Low,Medium,150,None,High,8.6,4.7,2700,1746,80,20,14,Low,Tolerant,-33,Summer,Routinely Available,Medium,Fall,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,134000,Moderate,High,No,None,No,No,No,No,No,No,Low,Low,No,No,,No,No,15,Short,
CEDE4,Summer,Slow,None,,No,No,Yes,Blue,No,Gray-Green,Porous,Porous,Fine,White,No,Multiple Stem,Rapid,,No,No,No,None,No,Prostrate,None,Yes,Yes,Yes,High,High,No,None,Medium,,110,None,High,8.6,6.0,7000,3450,55,10,0,None,Intermediate,-38,Summer,Routinely Available,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,165000,Rapid,High,No,Rapid,No,No,No,No,No,No,,Low,No,No,,No,No,,Moderate,
CECA4,Spring and Summer,,None,Medium,No,No,No,Purple,Yes,Green,Moderate,Porous,Coarse,Brown,Yes,Multiple Stem,Slow,30.0,No,No,No,None,Yes,Erect,None,No,Yes,Yes,None,Low,Yes,High,Low,Medium,170,None,Low,7.9,5.0,1200,300,80,20,24,None,Tolerant,-28,Spring,Routinely Available,Medium,Spring,Summer,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,18000,Moderate,Medium,No,None,No,No,No,No,No,Yes,Medium,Low,Yes,No,Low,No,No,25,Short,Low
CHFA2,Spring,,None,Low,No,No,No,Yellow,Yes,Green,Dense,Porous,Medium,Black,No,Bunch,Rapid,2.4,No,No,No,Medium,No,Erect,Slight,Yes,No,Yes,None,,No,Medium,Medium,None,130,None,Medium,7.5,5.5,,,45,14,14,None,Tolerant,-3,Early Summer,Routinely Available,High,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,65000,Rapid,High,No,None,No,No,No,No,No,No,High,Medium,No,No,High,No,No,,,
CHTH2,Spring and Summer,,None,High,No,No,No,Green,No,Green,Dense,Dense,Medium,Brown,No,Single Stem,Moderate,50.0,No,Yes,No,None,No,Erect,None,Yes,No,Yes,High,None,Yes,None,Medium,Medium,140,Medium,Low,6.3,3.5,1700,300,70,40,16,None,Intermediate,-36,Spring,Routinely Available,,Fall,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,460000,Moderate,Medium,No,Moderate,No,No,No,Yes,No,Yes,High,Low,No,Yes,,No,No,20,Long,Low
CHLA5,Spring,Slow,None,,No,No,No,Green,No,Green,Porous,Porous,Fine,Black,Yes,Rhizomatous,Moderate,4.6,No,No,Yes,None,No,Erect,None,Yes,Yes,Yes,Medium,Low,No,Medium,Low,None,160,None,Medium,7.0,5.0,11000,3400,65,24,10,None,Tolerant,-33,Summer,Routinely Available,High,Summer,Fall,Yes,Yes,No,No,No,No,Yes,No,No,No,90000,Moderate,Medium,No,Moderate,No,No,No,No,No,No,High,High,No,No,,No,No,,Moderate,
CHLA6,Spring,Slow,None,,No,No,No,Green,No,Green,Porous,Porous,Fine,Black,No,Rhizomatous,Moderate,3.3,No,No,Yes,None,No,Erect,None,Yes,Yes,Yes,Medium,Low,No,Medium,Low,None,160,None,Medium,7.0,4.5,11000,3500,60,35,10,None,Tolerant,-33,Summer,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,No,No,No,Yes,No,No,No,85000,Moderate,Medium,No,Moderate,No,No,No,No,No,No,High,High,No,No,,No,No,,Moderate,
CHSE2,Spring and Summer,Slow,None,Medium,No,No,No,Yellow,No,Green,Porous,Porous,Medium,Red,No,Rhizomatous,Moderate,5.0,No,No,Yes,None,No,Erect,None,No,Yes,Yes,Medium,Low,No,High,Medium,Medium,220,None,Medium,7.2,5.5,,,60,32,12,None,Intolerant,-3,Late Summer,No Known Source,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,85000,Slow,Medium,No,Slow,No,No,Yes,No,No,No,Low,Medium,No,No,Medium,No,No,,Moderate,
CHRU,Spring and Summer,Moderate,Medium,,No,No,No,Red,Yes,Green,Porous,Porous,Medium,Black,Yes,Single Crown,Rapid,3.0,No,No,No,None,No,Erect,,Yes,Yes,Yes,High,Low,No,Low,Medium,None,80,None,High,8.5,6.0,,,60,20,8,High,Intolerant,52,Late Summer,No Known Source,High,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,7566666,Moderate,Medium,No,None,No,No,No,No,No,No,Low,Low,No,No,Medium,No,No,,,
CHVI3,Spring and Summer,,None,High,No,No,No,White,Yes,Green,Dense,Porous,Medium,Blue,Yes,Multiple Stem,Slow,25.0,No,No,No,None,No,Erect,None,Yes,No,Yes,Low,None,Yes,Medium,High,Low,145,None,High,6.5,4.5,700,300,60,35,20,None,Tolerant,-30,Mid Spring,No Known Source,High,Summer,Summer,No,Yes,No,Yes,No,No,Yes,No,No,No,1800,Slow,High,No,None,No,No,No,No,No,Yes,Medium,,No,No,,No,No,20,Short,
CIAR2,Spring,Slow,None,High,No,No,Yes,Green,No,Green,Moderate,Porous,Medium,Yellow,No,Bunch,Moderate,4.9,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Medium,Medium,No,Low,Medium,Low,130,None,Low,8.5,4.0,19000,11000,60,18,16,None,Tolerant,-33,Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,,Moderate,Medium,No,None,No,No,No,No,No,No,,High,No,No,,No,No,,Long,
CLKE,Spring and Summer,,None,High,No,Yes,No,White,Yes,Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Moderate,40.0,No,No,No,None,Yes,Erect,None,Yes,No,Yes,None,Medium,Yes,Medium,Low,None,180,Low,Low,7.5,4.8,700,300,55,36,24,None,Intermediate,-32,Early Summer,Routinely Available,High,Summer,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,12000,Slow,Medium,No,None,No,No,No,Yes,Yes,Yes,,,No,No,,No,No,25,Long,Low
CLVI5,Spring and Summer,,None,Medium,No,No,No,White,Yes,Green,Porous,Porous,Coarse,Black,No,Single Crown,Slow,15.0,No,No,No,None,Yes,Climbing,None,No,Yes,Yes,None,Low,Yes,Medium,Medium,Medium,85,None,Medium,6.8,5.0,2700,1200,55,32,14,None,Intermediate,-38,Mid Summer,No Known Source,Low,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,192000,Slow,Low,No,Slow,No,No,No,No,No,No,,,No,No,,No,No,,Long,
CLAL3,Spring and Summer,,None,High,No,No,No,White,No,Green,Moderate,Porous,Coarse,Brown,Yes,Multiple Stem,Moderate,16.0,No,No,No,None,No,Erect,None,Yes,No,Yes,Medium,Low,No,Low,Medium,High,150,Low,High,7.0,4.5,1700,700,60,35,16,None,Intermediate,-23,Summer,Routinely Available,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,,Slow,Low,No,Slow,No,No,No,No,No,No,Medium,Low,No,No,Low,No,No,16,Moderate,
COCY,Spring,Slow,None,,No,No,No,Green,No,Green,Porous,Porous,Fine,Brown,No,Rhizomatous,Moderate,3.2,No,No,Yes,None,No,Erect,None,Yes,Yes,Yes,None,Medium,No,High,Low,None,160,None,Low,7.0,4.0,,,60,30,6,None,Intermediate,-23,Summer,No Known Source,Low,Summer,Fall,No,No,No,No,No,No,Yes,No,No,No,275000,Slow,Low,No,Moderate,No,No,No,No,No,No,Medium,Medium,No,No,,No,No,,Moderate,
CORU3,Spring and Summer,Moderate,None,Medium,No,No,No,White,No,Green,Moderate,Porous,Fine,Brown,No,Bunch,Moderate,2.0,No,No,No,None,No,Erect,None,No,Yes,Yes,Low,None,No,Low,Low,None,150,None,Medium,7.0,5.0,,,80,45,6,None,Intermediate,-8,Late Summer,No Known Source,Low,Fall,Fall,No,No,No,No,No,No,Yes,No,No,No,275000,Slow,Low,No,None,No,No,No,No,No,No,Low,Low,No,No,,No,No,,Moderate,
CODI5,Summer,Slow,None,Low,No,No,No,Blue,Yes,Yellow-Green,Porous,Porous,Coarse,Brown,No,Stoloniferous,Rapid,1.0,No,No,No,None,No,Decumbent,None,No,Yes,Yes,Medium,Medium,No,Low,Medium,None,120,None,Medium,7.2,5.2,4800,2700,60,32,4,None,Tolerant,47,Summer,No Known Source,Medium,Summer,Fall,No,No,No,Yes,No,Yes,Yes,No,Yes,No,175000,Moderate,High,No,Moderate,No,No,No,No,No,No,,,No,No,,No,No,,Short,
COVI3,Summer and Fall,Slow,None,Medium,No,No,No,Blue,Yes,Green,Moderate,Porous,Medium,Red,No,Rhizomatous,Moderate,3.5,No,No,No,None,No,Erect,None,No,Yes,Yes,None,Medium,No,Low,High,Medium,165,None,Medium,6.7,4.7,4800,2700,55,36,10,None,Tolerant,-18,Mid Summer,No Known Source,Medium,Summer,Fall,No,No,No,Yes,No,No,Yes,No,No,No,175000,Slow,Low,No,Rapid,No,No,No,No,No,No,,,No,No,,No,No,,Long,
COCO13,Summer,Slow,None,,No,Yes,No,Blue,No,Green,Moderate,Moderate,Medium,,No,Single Crown,Moderate,3.2,No,No,No,None,No,Erect,None,No,Yes,Yes,Low,Medium,No,Medium,Medium,Low,170,None,Medium,7.5,5.5,,,60,24,14,None,Tolerant,-13,Summer,Routinely Available,Medium,Summer,Fall,No,No,No,No,No,No,Yes,No,Yes,No,1500000,Moderate,Medium,No,None,No,No,No,No,No,No,,Low,No,No,,No,No,,Moderate,
COCA5,"Spring, Summer, Fall",Slow,None,Medium,No,No,No,White,Yes,Green,Porous,Porous,Coarse,Brown,No,Single Crown,Rapid,5.0,No,No,No,None,No,Erect,None,Yes,Yes,Yes,Low,Low,No,Low,Medium,Low,60,None,Medium,7.2,4.8,,,55,14,6,None,Intolerant,52,Indeterminate,No Known Source,High,,,No,No,No,No,No,No,Yes,No,No,No,700000,Rapid,High,No,None,No,No,No,No,No,No,,,No,No,,No,No,,,
COLA5,Spring and Summer,Slow,None,Low,No,Yes,No,Yellow,Yes,Green,Dense,Porous,Medium,Black,Yes,Single Crown,Moderate,2.0,No,No,No,None,No,Erect,None,No,Yes,Yes,None,None,No,Low,Medium,None,180,None,Medium,7.0,6.0,3450,1200,60,30,6,None,Intolerant,-8,Late Summer,Routinely Available,High,Fall,Fall,Yes,No,No,Yes,No,No,Yes,No,No,No,221000,Moderate,High,No,None,No,No,No,No,No,Yes,Low,Low,No,No,,No,No,,Moderate,
COTI3,Spring and Summer,Slow,None,Medium,No,No,No,Yellow,Yes,Green,Porous,Porous,Medium,Brown,No,Single Crown,Rapid,3.0,No,No,No,None,No,Erect,None,No,Yes,Yes,Medium,Medium,No,Low,Medium,Low,90,None,High,7.8,5.2,,,55,20,8,None,Intermediate,52,Late Spring,Routinely Available,High,Summer,Summer,No,No,No,No,No,No,Yes,No,No,No,3222222,Moderate,High,No,None,No,No,No,No,No,Yes,,,No,No,,No,No,,Short,
COAL2,Spring and Summer,,None,High,Yes,Yes,No,White,Yes,Dark Green,Dense,Porous,Medium,Black,Yes,Multiple Stem,Moderate,25.0,No,No,No,None,Yes,Erect,None,No,No,Yes,None,Low,Yes,Low,Medium,Low,120,Low,Medium,7.3,4.8,1700,1200,70,24,20,None,Tolerant,-47,Mid Spring,No Known Source,Medium,Summer,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,8000,Slow,Low,No,None,No,No,No,No,No,Yes,High,Low,No,No,Low,No,No,25,Moderate,
COAM2,Spring and Summer,,None,High,Yes,No,No,White,Yes,Green,Dense,Moderate,Coarse,Green,Yes,Stoloniferous,Moderate,10.0,No,No,No,None,No,Semi-Erect,None,Yes,Yes,Yes,Medium,Low,Yes,Low,Medium,High,110,Medium,High,7.0,5.0,4800,1200,60,36,16,None,Intermediate,-38,Early Spring,Routinely Available,Low,Spring,Summer,No,Yes,No,Yes,No,Yes,Yes,No,No,No,12200,Slow,Medium,No,Slow,No,No,No,No,No,Yes,Low,Low,No,No,,No,No,7,Moderate,
CODR,Spring and Summer,,None,High,Yes,Yes,No,White,Yes,Green,Dense,Porous,Medium,White,Yes,Multiple Stem,Rapid,20.0,No,No,No,None,Yes,Erect,None,No,Yes,Yes,Low,Low,Yes,Low,Medium,Low,110,Low,Low,7.5,4.5,1700,1200,55,32,20,Low,Intermediate,-28,Mid Spring,Routinely Available,Medium,Summer,Fall,No,Yes,No,Yes,No,Yes,Yes,No,No,No,15700,Moderate,Low,No,Rapid,No,No,No,No,No,Yes,High,Low,No,No,Low,No,No,25,Long,
COFL2,Spring and Summer,,None,High,No,Yes,No,White,Yes,Green,Porous,Porous,Medium,Red,Yes,Multiple Stem,Moderate,30.0,No,No,No,None,Yes,Erect,,Yes,No,Yes,None,Low,Yes,Low,Medium,Medium,160,Low,Low,7.7,4.8,2700,1200,80,28,18,None,Tolerant,-28,Early Spring,Routinely Available,Medium,Spring,Fall,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,4480,Slow,Medium,No,None,No,No,No,No,No,Yes,Medium,Low,No,No,Low,No,No,20,Short,Low
COFO,Spring and Summer,,None,Medium,No,Yes,No,White,Yes,Green,Moderate,Porous,Fine,Black,Yes,Thicket Forming,Moderate,16.0,No,No,No,None,Yes,Erect,None,No,Yes,Yes,Medium,Low,Yes,Low,Medium,Medium,240,Low,Medium,7.2,5.8,1700,1200,60,36,16,None,Intermediate,-3,Mid Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,12000,Moderate,Medium,No,Moderate,No,No,No,No,No,No,Medium,Low,No,No,,No,No,16,Moderate,
COFL3,Spring,Slow,None,Medium,No,No,No,Yellow,Yes,White-Gray,Moderate,Porous,Coarse,Black,No,Single Crown,Rapid,1.5,No,No,No,None,No,Semi-Erect,Slight,Yes,No,Yes,Low,Medium,No,Low,Medium,Low,160,None,Medium,6.8,4.8,,,55,32,6,None,Intermediate,-18,Mid Spring,No Known Source,High,Spring,Spring,No,No,No,No,No,No,Yes,No,No,No,55000,Moderate,Medium,No,None,No,No,No,No,No,No,,Low,No,No,Low,No,No,,,
COAM3,Spring and Summer,,None,High,No,No,No,White,No,Green,Moderate,Porous,Coarse,Brown,Yes,Multiple Stem,Moderate,10.0,No,No,No,None,No,Erect,None,No,Yes,Yes,None,Medium,Yes,Medium,Medium,Medium,100,Low,Medium,7.0,5.0,1700,700,60,32,20,None,Intermediate,-33,Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,491,Slow,High,No,None,Yes,No,No,No,No,Yes,Medium,Low,No,No,,No,No,10,Short,
COCO6,Spring and Summer,,None,,No,No,No,Yellow,No,Green,Dense,Moderate,Coarse,Brown,Yes,Multiple Stem,Moderate,15.0,No,No,No,None,Yes,Erect,None,No,No,Yes,None,Medium,Yes,Medium,Medium,High,90,Medium,Medium,7.5,4.8,1700,700,80,20,16,None,Tolerant,-47,Early Spring,Routinely Available,Low,Summer,Fall,No,Yes,No,Yes,No,No,Yes,No,No,No,549,Slow,High,No,Slow,No,No,No,No,No,Yes,Medium,Low,Yes,No,Low,No,No,15,Long,
CRAE,Spring and Summer,,None,Medium,Yes,No,No,White,Yes,Dark Green,Moderate,Porous,Fine,Red,Yes,Multiple Stem,Slow,26.0,No,No,No,None,Yes,Erect,None,No,No,Yes,Medium,Low,Yes,Low,Medium,Low,180,Medium,High,7.3,4.3,700,300,60,34,18,None,Intolerant,-8,Mid Spring,Routinely Available,Medium,Spring,Summer,Yes,Yes,No,Yes,No,No,Yes,No,No,No,20000,Moderate,Medium,No,None,No,No,No,No,No,Yes,High,Low,No,No,Medium,No,No,26,Moderate,
CRCR2,Spring and Summer,,None,High,No,Yes,No,White,Yes,Green,Dense,Moderate,Medium,Red,Yes,Single Stem,Moderate,30.0,No,No,No,None,Yes,Erect,None,Yes,Yes,Yes,None,High,Yes,High,Low,Medium,90,Medium,Low,7.2,4.5,1200,300,60,24,24,Medium,Intolerant,-33,Late Spring,Routinely Available,High,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,5000,Moderate,Medium,No,None,No,No,No,No,No,Yes,Medium,Low,No,No,Low,No,No,30,Long,Medium
CRMA5,Spring and Summer,,None,Medium,No,Yes,No,White,Yes,Green,Moderate,Porous,Medium,Red,Yes,Single Stem,Moderate,25.0,No,No,No,None,Yes,Erect,None,No,Yes,Yes,High,Low,Yes,Low,Medium,Low,240,Low,Medium,7.2,5.8,700,300,60,34,18,None,Tolerant,-3,Mid Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,20000,Slow,Low,No,None,Yes,No,No,No,No,Yes,High,Low,Yes,No,,No,No,25,Moderate,
CRPH,Spring and Summer,,None,Medium,No,Yes,No,White,Yes,Green,Moderate,Porous,Medium,Red,Yes,Single Stem,Moderate,30.0,No,No,No,None,Yes,Erect,None,No,Yes,Yes,None,Low,Yes,Medium,Medium,Low,160,Medium,Medium,7.0,4.3,1200,300,60,32,30,None,Intolerant,-33,Mid Spring,Routinely Available,Medium,Summer,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,29800,Slow,Medium,No,None,Yes,No,No,No,No,Yes,Low,,No,No,Medium,No,No,25,Long,Medium
CRVI2,Spring and Summer,,None,Medium,Yes,Yes,No,White,Yes,Yellow-Green,Dense,Moderate,Fine,Red,Yes,Multiple Stem,Moderate,30.0,No,No,No,None,Yes,Erect,None,No,Yes,Yes,Medium,Medium,Yes,Low,Medium,Low,180,Low,High,7.3,4.3,700,300,60,36,18,None,Intolerant,-24,Early Spring,Routinely Available,Medium,Spring,Fall,Yes,Yes,No,Yes,No,No,Yes,No,No,No,20000,Slow,Low,No,None,Yes,No,No,No,No,Yes,High,Low,Yes,No,,No,No,24,Long,
CYAC2,Spring and Summer,Slow,None,Medium,No,No,No,Green,No,Green,Porous,Porous,Fine,Green,No,Bunch,Rapid,1.3,No,No,No,None,No,Erect,None,No,Yes,Yes,High,Low,No,None,Medium,Low,80,None,High,6.8,4.9,11000,4800,55,24,6,None,Intermediate,-38,Late Spring,No Known Source,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,,Moderate,Medium,No,None,No,No,No,No,No,No,,,No,No,,No,No,,Short,
CYBI6,"Spring, Summer, Fall",Slow,None,Medium,No,No,No,Green,No,Green,Dense,Porous,Fine,Brown,No,Bunch,Rapid,5.0,No,No,No,None,No,Semi-Erect,None,Yes,Yes,Yes,High,Medium,No,Low,Medium,Low,120,None,Medium,6.5,4.5,11000,4800,50,30,14,None,Intolerant,32,Mid Summer,No Known Source,Medium,Summer,Fall,Yes,No,No,No,No,No,No,No,Yes,No,3023950,Moderate,Medium,No,None,No,No,No,No,No,No,,Low,No,No,,No,No,,,
