Accepted Symbol,Synonym Symbol,Scientific Name,Common Name
MAFR,,Magnolia fraseri Walter,mountain magnolia
MAFU,,Malus fusca (Raf.) C.K. Schneid.,Oregon crab apple
MAGR4,,Magnolia grandiflora L.,southern magnolia
MAIN3,,Mangifera indica L.,mango
MAIO,,Malus ioensis (Alph. Wood) Britton,prairie crab apple
MALUS,,Malus Mill.,apple
MAMA37,,Malus mandshurica (Maxim.) Kom.,Manchurian crab apple
MANE2,,Mahonia nervosa (Pursh) Nutt.,Cascade barberry
MAPO,,Maclura pomifera (Raf.) C.K. Schneid.,Osage-orange
MAPO2,,Magnolia portoricensis Bello,Puerto Rico magnolia
MARE11,,Mahonia repens (Lindl.) G. Don,creeping barberry
MASA9,,Malus sargentii Rehder,Sargent's apple
MASO9,,Magnolia ×soulangiana Soul.-Bod. [denudata × liliifolia],Chinese magnolia
MAST6,,Magnolia stellata (Siebold & Zucc.) Maxim.,star magnolia
MASY2,,Malus sylvestris (L.) Mill.,European crab apple
MATA2,,Machaeranthera tanacetifolia (Kunth) Nees,tanseyleaf tansyaster
MATO6,,Malus toringo (Siebold) Siebold ex de Vriese,toringo crab
MATO6,MASI80,Malus sieboldii (Regel) Rehder,
MATR,,Magnolia tripetala (L.) L.,umbrella-tree
MAVI2,,Magnolia virginiana L.,sweetbay
MAZA,,Manilkara zapota (L.) P. Royen,sapodilla
MAZU2,,Malus zumi (Matsum.) Rehder,o-zumi
MAZU2,MASIZ,Malus sieboldii (Regel) Rehder var. zumi (Matsum.) Asami,
MEAR4,,Mentha arvensis L.,wild mint
MEAZ,,Melia azedarach L.,Chinaberrytree
MEBI,,Melicoccus bijugatus Jacq.,Spanish lime
MEBU,,Melica bulbosa Geyer ex Porter & J.M. Coult.,oniongrass
MECA2,,Melica californica Scribn.,California melicgrass
MECI3,,Mertensia ciliata (James ex Torr.) G. Don,tall fringed bluebells
MEDE2,,Mentzelia decapetala (Pursh ex Sims) Urb. & Gilg ex Gilg,tenpetal blazingstar
MEGL8,,Metasequoia glyptostroboides Hu & W.C. Cheng,dawn redwood
MEIM,,Melica imperfecta Trin.,smallflower melicgrass
MEIN2,,Melilotus indicus (L.) All.,annual yellow sweetclover
MEIN2,MEIN14,"Melilotus indica (L.) All., orth. var.",
MELU,,Medicago lupulina L.,black medick
MEOF,,Melilotus officinalis (L.) Lam.,sweetclover
MEOF,MEAL12,"Melilotus alba Medikus, orth. var.",
MEPO3,,Medicago polymorpha L.,burclover
MEPO5,,Metrosideros polymorpha Gaudich.,'ohi'a lehua
MESA,,Medicago sativa L.,alfalfa
MESC,,Menodora scabra A. Gray,rough menodora
MESC6,,Medicago scutellata (L.) Mill.,snail medick
MESP,,Melica spectabilis Scribn.,purple oniongrass
MESU,,Melica subulata (Griseb.) Scribn.,Alaska oniongrass
METR3,,Menyanthes trifoliata L.,buckbean
MEVI3,,Mertensia virginica (L.) Pers. ex Link,Virginia bluebells
MIAL2,,Mimulus alatus Aiton,sharpwing monkeyflower
MICA3,,Mimulus cardinalis Douglas ex Benth.,scarlet monkeyflower
MIDE3,,Mimulus dentatus Nutt. ex Benth.,coastal monkeyflower
MIGU,,Mimulus guttatus DC.,seep monkeyflower
MIMU,,Mirabilis multiflora (Torr.) A. Gray,Colorado four o'clock
MINA,,Mimulus nanus Hook. & Arn.,dwarf purple monkeyflower
MINU,,Microseris nutans (Hook.) Sch. Bip.,nodding microseris
MIPR,,Mimulus primuloides Benth.,primrose monkeyflower
MISC,,Mikania scandens (L.) Willd.,climbing hempvine
MISI,,Miscanthus sinensis Andersson,Chinese silvergrass
MISU2,,Mimulus suksdorfii A. Gray,Suksdorf's monkeyflower
MOAL,,Morus alba L.,white mulberry
MOCA6,,Morella californica (Cham.) Wilbur,California wax myrtle
MOCA7,,Morella caroliniensis (Mill.) Small,southern bayberry
MOCE2,,Morella cerifera (L.) Small,wax myrtle
MOCI3,,Morinda citrifolia L.,Indian mulberry
MOFI,,Monarda fistulosa L.,wild bergamot
MOFIM2,,Monarda fistulosa L. ssp. fistulosa var. menthifolia (Graham) Fernald,mintleaf bergamot
MOIN,,Morella inodora (W. Bartram) Small,scentless bayberry
MONU,,Monolepis nuttalliana (Schult.) Greene,Nuttall's povertyweed
MOPE6,,Morella pensylvanica (Mirb.) Kartesz,northern bayberry
MORU2,,Morus rubra L.,red mulberry
MUAS,,Muhlenbergia asperifolia (Nees & Meyen ex Trin.) Parodi,scratchgrass
MUCA2,,Muhlenbergia capillaris (Lam.) Trin.,hairawn muhly
MUCU3,,Muhlenbergia cuspidata (Torr. ex Hook.) Rydb.,plains muhly
MUFI3,,Muhlenbergia filipes M.A. Curtis,gulfhairawn muhly
MUFI3,MUCAF,Muhlenbergia capillaris (Lam.) Trin. var. filipes (M.A. Curtis) Chapm. ex Beal,
MUFR2,,Muhlenbergia frondosa (Poir.) Fernald,wirestem muhly
MUGL3,,Muhlenbergia glomerata (Willd.) Trin.,spiked muhly
MUME2,,Muhlenbergia mexicana (L.) Trin.,Mexican muhly
MUMO,,Muhlenbergia montana (Nutt.) Hitchc.,mountain muhly
MUPO2,,Muhlenbergia porteri Scribn. ex Beal,bush muhly
MUPU2,,Muhlenbergia pungens Thurb.,sandhill muhly
MURA,,"Muhlenbergia racemosa (Michx.) Britton, Sterns & Poggenb.",marsh muhly
MURE,,Muhlenbergia repens (J. Presl) Hitchc.,creeping muhly
MURI,,Muhlenbergia richardsonis (Trin.) Rydb.,mat muhly
MURI2,,Muhlenbergia rigens (Benth.) Hitchc.,deergrass
MUSC,,Muhlenbergia schreberi J.F. Gmel.,nimblewill
MUSY,,Muhlenbergia sylvatica (Torr.) Torr. ex A. Gray,woodland muhly
MUUN,,Muhlenbergia uniflora (Muhl.) Fernald,bog muhly
MUWR,,Muhlenbergia wrightii Vasey ex J.M. Coult.,spike muhly
MYAPB,,Myosurus apetalus C. Gay var. borealis Whittemore,bristly mousetail
MYGA,,Myrica gale L.,sweetgale
MYMI2,,Myosurus minimus L.,tiny mousetail
MYSA,,Myoporum sandwicense (A. DC.) A. Gray,naio
MYSC,,Myosotis scorpioides L.,true forget-me-not
NACE,,Nassella cernua (Stebbins & R.M. Love) Barkworth,nodding needlegrass
NADO,,Nandina domestica Thunb.,sacred bamboo
NAFL,,Najas flexilis (Willd.) Rostk. & Schmidt,nodding waternymph
NAGU,,Najas guadalupensis (Spreng.) Magnus,southern waternymph
NALE2,,Nassella lepida (Hitchc.) Barkworth,foothill needlegrass
NAMI,,Najas minor All.,brittle waternymph
NAPU4,,Nassella pulchra (Hitchc.) Barkworth,purple needlegrass
NAVI4,,Nassella viridula (Trin.) Barkworth,green needlegrass
NEAR5,,Nekemias arborea (L.) J. Wen & Boggan,peppervine
NEAR5,AMAR5,Ampelopsis arborea (L.) Koehne,
NECO,,Nectandra coriacea (Sw.) Griseb.,lancewood
NELU,,Nelumbo lutea Willd.,American lotus
NEMA,,Nemophila maculata Benth. ex Lindl.,fivespot
NEOL,,Nerium oleander L.,oleander
NEWI2,,Neonotonia wightii (Wight & Arn.) Lackey,perennial soybean
NIOC2,,Nitrophila occidentalis (Moq.) S. Watson,boraxweed
NODE3,,"Notholithocarpus densiflorus (Hook. & Arn.) P.S. Manos, C.H. Cannon, & S.H. Oh",tanoak
NODE3,LIDE3,Lithocarpus densiflorus (Hook. & Arn.) Rehder,
NOMI,,Nolina microcarpa S. Watson,sacahuista
NULUP,,Nuphar lutea (L.) Sm. ssp. polysepala (Engelm.) E.O. Beal,Rocky Mountain pond-lily
NYAQ2,,Nyssa aquatica L.,water tupelo
NYBI,,Nyssa biflora Walter,swamp tupelo
NYME,,Nymphaea mexicana Zucc.,yellow waterlily
NYOG,,Nyssa ogeche W. Bartram ex Marshall,Ogeechee tupelo
NYSY,,Nyssa sylvatica Marshall,blackgum
OCFL,,Ocotea floribunda (Sw.) Mez,laurel espada
OCLE,,Ocotea leucoxylon (Sw.) De Laness.,loblolly sweetwood
OCMO,,Ocotea moschata (Pav. ex Meisn.) Mez,nemoca
OCSP,,Ocotea spathulata Mez,nemoca cimarrona
OEBI,,Oenothera biennis L.,common evening primrose
OECA10,,Oenothera caespitosa Nutt.,tufted evening primrose
OECE,,Oemleria cerasiformis (Torr. & A. Gray ex Hook. & Arn.) Landon,Indian plum
OEEL,,Oenothera elata Kunth,Hooker's evening primrose
OEELH2,,Oenothera elata Kunth ssp. hookeri (Torr. & A. Gray) W. Dietr. & W.L. Wagner,Hooker's evening primrose
OEFL,,Oenothera flava (A. Nelson) Garrett,yellow evening primrose
OEFR,,Oenothera fruticosa L.,narrowleaf evening primrose
OEPA,,Oenothera pallida Lindl.,pale evening primrose
OEPI2,,Oenothera pilosella Raf.,meadow evening primrose
OLDOD,,Olsynium douglasii (A. Dietr.) E.P. Bicknell var. douglasii,Douglas' grasswidow
OLRIR,,Oligoneuron rigidum (L.) Small var. rigidum,stiff goldenrod
OLTE,,Olneya tesota A. Gray,desert ironwood
ONVI,,Onobrychis viciifolia Scop.,sainfoin
OPDI3,,Opuntia dillenii (Ker Gawl.) Haw.,erect pricklypear
OPDI3,OPSTD,Opuntia stricta (Haw.) Haw. var. dillenii (Ker Gawl.) L.D. Benson,
OPFI,,Opuntia ficus-indica (L.) Mill.,Barbary fig
OPPO,,Opuntia polyacantha Haw.,plains pricklypear
ORLU2,,Orthocarpus luteus Nutt.,yellow owl's-clover
ORTE2,,Orthocarpus tenuifolius (Pursh) Benth.,thinleaved owl's-clover
OSAN,,Osteomeles anthyllidifolia (Sm.) Lindl.,Hawai'i hawthorn
OSCI,,Osmunda cinnamomea L.,cinnamon fern
OSCL2,,Osmunda claytoniana L.,interrupted fern
OSDE,,Osmorhiza depauperata Phil.,bluntseed sweetroot
OSHE,,Osmanthus heterophyllus (G. Don) P.S. Green,holly osmanthus
OSOC,,Osmorhiza occidentalis (Nutt. ex Torr. & A. Gray) Torr.,western sweetroot
OSRE,,Osmunda regalis L.,royal fern
OSRES,,Osmunda regalis L. var. spectabilis (Willd.) A. Gray,royal fern
OSVI,,Ostrya virginiana (Mill.) K. Koch,hophornbeam
OXAR,,Oxydendrum arboreum (L.) DC.,sourwood
OXDI3,,Oxyria digyna (L.) Hill,alpine mountainsorrel
OXLA3,,Oxytropis lambertii Pursh,purple locoweed
OXSP,,Oxytropis splendens Douglas ex Hook.,showy locoweed
PAAM2,,Panicum amarum Elliott,bitter panicgrass
PAAN4,,Panicum antidotale Retz.,blue panicum
PAAU3,,Packera aurea (L.) Á. Löve & D. Löve,golden ragwort
PABR,,Paeonia brownii Douglas ex Hook.,Brown's peony
PACA15,,Packera cana (Hook.) W.A. Weber & Á. Löve,woolly groundsel
PACO14,,Paspalum conjugatum P.J. Bergius,hilograss
PACO2,,Panicum coloratum L.,kleingrass
PADE24,,Paspalum denticulatum Trin.,longtom
PADE24,PALI7,Paspalum lividum Trin.,
PADI,,Panicum dichotomiflorum Michx.,fall panicgrass
PADI3,,Paspalum dilatatum Poir.,dallisgrass
PADI6,,Paspalum distichum L.,knotgrass
PAFI3,,Parnassia fimbriata K.D. Koenig,fringed grass of Parnassus
PAFL5,,Paspalum fluitans (Elliott) Kunth,horsetail paspalum
PAGL17,,Packera glabella (Poir.) C. Jeffrey,butterweed
PAGO4,,Papaver gorodkovii Tolm. & V.V. Petrovsky,arctic poppy
PAHE2,,Panicum hemitomon Schult.,maidencane
PAHI13,,Paspalum hieronymi Hack.,paspalum
PALA10,,Paspalum laeve Michx.,field paspalum
PALU2,,Passiflora lutea L.,yellow passionflower
PAMI2,,Panicum miliaceum L.,proso millet
PANI3,,Paspalum nicorae Parodi,Brunswickgrass
PANOS,,Paspalum notatum Flueggé var. saurae Parodi,bahiagrass
PAOB,,Panicum obtusum Kunth,vine mesquite
PAPA8,,Parnassia palustris L.,marsh grass of Parnassus
PAPL3,,Paspalum plicatulum Michx.,brownseed paspalum
PAQU2,,Parthenocissus quinquefolia (L.) Planch.,Virginia creeper
PARI4,,Panicum rigidulum Bosc ex Nees,redtop panicgrass
PASM,,Pascopyrum smithii (Rydb.) Á. Löve,western wheatgrass
PATE11,,Pachysandra terminalis Siebold & Zucc.,Japanese pachysandra
PATE2,,Pandanus tectorius Parkinson ex Zucc.,Tahitian screwpine
PATO2,,Paulownia tomentosa (Thunb.) Siebold & Zucc. ex Steud.,princesstree
PATR6,,Parthenocissus tricuspidata (Siebold & Zucc.) Planch.,Boston ivy
PATR7,,Packera tridenticulata (Rydb.) W.A. Weber & Á. Löve,threetooth ragwort
PAVA,,Paspalum vaginatum Sw.,seashore paspalum
PAVI2,,Panicum virgatum L.,switchgrass
PEAC,,Penstemon acuminatus Douglas ex Lindl.,sharpleaf penstemon
PEAL,,Pennisetum alopecuroides (L.) Spreng.,Chinese fountaingrass
PEAL11,,Penstemon albertinus Greene,Alberta beardtongue
PEAN,,Pectis angustifolia Torr.,lemonscent
PEAN4,,Penstemon angustifolius Nutt. ex Pursh,broadbeard beardtongue
PEBO,,Persea borbonia (L.) Spreng.,redbay
PECA,,Pedicularis canadensis L.,Canadian lousewort
PECI,,Pennisetum ciliare (L.) Link,buffelgrass
PECO6,,Penstemon confertus Douglas ex Lindl.,yellow penstemon
PECY2,,Penstemon cyananthus Hook.,Wasatch beardtongue
PEDE4,,Penstemon deustus Douglas ex Lindl.,scabland penstemon
PEDI,,Penstemon digitalis Nutt. ex Sims,foxglove beardtongue
PEDO,,Petitia domingensis Jacq.,bastard stopper
PEEA,,Penstemon eatonii A. Gray,firecracker penstemon
PEFL18,,Pennisetum flaccidum Griseb.,flaccidgrass
PEFR3,,Penstemon fruticosus (Pursh) Greene,bush penstemon
PEFRS5,,Petasites frigidus (L.) Fr. var. sagittatus (Banks ex Pursh) Cherniawsky,arrowleaf sweet coltsfoot
PEFRS5,PESA5,Petasites sagittatus (Banks ex Pursh) A. Gray,
PEGA,,Penstemon gairdneri Hook.,Gairdner's beardtongue
PEGA3,,Perideridia gairdneri (Hook. & Arn.) Mathias,Gardner's yampah
PEGL2,,Pennisetum glaucum (L.) R. Br.,pearl millet
PEGL3,,Penstemon glaber Pursh,sawsepal penstemon
PEGR2,,Pedicularis groenlandica Retz.,elephanthead lousewort
PEHA18,,Penstemon hartwegii Benth.,Hartweg's beardtongue
PEHEP,,Penstemon heterophyllus Lindl. ssp. purdyi D.D. Keck,Purdy's penstemon
PELA7,,Penstemon laetus A. Gray,mountain blue penstemon
PELY2,,Penstemon lyallii (A. Gray) A. Gray,Lyall's beardtongue
PENE3,,Penstemon newberryi A. Gray,mountain pride
PEPA21,,Perideridia parishii (J.M. Coult. & Rose) A. Nelson & J.F. Macbr.,Parish's yampah
PEPA37,,Persea palustris (Raf.) Sarg.,swamp bay
PEPA8,,Penstemon palmeri A. Gray,Palmer's penstemon
PEPU2,,Pennisetum purpureum Schumach.,elephant grass
PERY,,Penstemon rydbergii A. Nelson,Rydberg's penstemon
PESE3,,Pennisetum setaceum (Forssk.) Chiov.,crimson fountaingrass
PESE6,,Penthorum sedoides L.,ditch stonecrop
PESP,,Penstemon speciosus Douglas ex Lindl.,royal penstemon
PEST2,,Penstemon strictus Benth.,Rocky Mountain penstemon
PEVE2,,Penstemon venustus Douglas ex Lindl.,Venus penstemon
PEVI,,Peltandra virginica (L.) Schott,green arrow arum
PEWH,,Penstemon whippleanus A. Gray,Whipple's penstemon
PEWI,,Penstemon wilcoxii Rydb.,Wilcox's penstemon
PHAL2,,Phleum alpinum L.,alpine timothy
PHAM4,,Phytolacca americana L.,American pokeweed
PHAQ,,Phalaris aquatica L.,bulbous canarygrass
PHAR3,,Phalaris arundinacea L.,reed canarygrass
PHAU7,,Phragmites australis (Cav.) Trin. ex Steud.,common reed
PHAU8,,Phyllostachys aurea Carrière ex A. Rivière & C. Rivière,golden bamboo
PHBR4,,Phyllodoce breweri (A. Gray) A. Heller,purple mountainheath
PHCA11,,Physocarpus capitatus (Pursh) Kuntze,Pacific ninebark
PHCO7,,Philadelphus coronarius L.,sweet mock orange
PHDI3,,Phlox diffusa Benth.,spreading phlox
PHDI5,,Phlox divaricata L.,wild blue phlox
PHFR9,,Photinia ×fraseri Dress,Fraser's photinia
PHGL4,,Phlox glaberrima L.,smooth phlox
PHHA,,Phacelia hastata Douglas ex Lehm.,silverleaf phacelia
PHLE4,,Philadelphus lewisii Pursh,Lewis' mock orange
PHLO2,,Phlox longifolia Nutt.,longleaf phlox
PHMA5,,Physocarpus malvaceus (Greene) Kuntze,mallow ninebark
PHMAM,,Phlox maculata L. ssp. maculata,wild sweetwilliam
PHMI4,,Philadelphus microphyllus A. Gray,littleleaf mock orange
PHNO2,,Phyla nodiflora (L.) Greene,turkey tangle fogfruit
PHOP,,"Physocarpus opulifolius (L.) Maxim., orth. cons.",common ninebark
PHPR3,,Phleum pratense L.,timothy
PHSU3,,Phlox subulata L.,moss phlox
PHTA,,Phacelia tanacetifolia Benth.,lacy phacelia
PIAB,,Picea abies (L.) Karst.,Norway spruce
PIAC,,Pictetia aculeata (Vahl) Urb.,fustic
PIAL,,Pinus albicaulis Engelm.,whitebark pine
PIAL2,,Pipturus albidus (Hook. & Arn.) A. Gray,Waimea pipturus
PIAL3,,Pisonia albida (Heimerl) Britton ex Standl.,corcho bobo
PIAR,,Pinus aristata Engelm.,bristlecone pine
PIBA2,,Pinus banksiana Lamb.,jack pine
PIBR,,Picea breweriana S. Watson,Brewer spruce
PICA15,,Pinus canariensis C. Sm.,Canary Island pine
PICE,,Pinus cembroides Zucc.,Mexican pinyon
PICL,,Pinus clausa (Chapm. ex Engelm.) Vasey ex Sarg.,sand pine
PICO,,Pinus contorta Douglas ex Loudon,lodgepole pine
PICO3,,Pinus coulteri D. Don,Coulter pine
PICOC,,Pinus contorta Douglas ex Loudon var. contorta,beach pine
PIDE4,,Picrothamnus desertorum Nutt.,bud sagebrush
PIEC2,,Pinus echinata Mill.,shortleaf pine
PIED,,Pinus edulis Engelm.,twoneedle pinyon
PIEL,,Pinus elliottii Engelm.,slash pine
PIEN,,Picea engelmannii Parry ex Engelm.,Engelmann spruce
PIFL2,,Pinus flexilis James,limber pine
PIGL,,Picea glauca (Moench) Voss,white spruce
PIGL2,,Pinus glabra Walter,spruce pine
PIGR4,,Pityopsis graminifolia (Michx.) Nutt.,narrowleaf silkgrass
PIJA3,,Pieris japonica (Thunb.) D. Don ex G. Don,Japanese pieris
PIJE,,Pinus jeffreyi Balf.,Jeffrey pine
PILA,,Pinus lambertiana Douglas,sugar pine
PIMA,,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",black spruce
PIME,,Piper methysticum G. Forst.,kava
PIMI,,"Piptatheropsis micrantha (Trin. & Rupr.) Romasch., P.M. Peterson & R.J. Soreng",littleseed ricegrass
PIMI,PIMI7,Piptatherum micranthum (Trin. & Rupr.) Barkworth,
PIMO,,Pinus monophylla Torr. & Frém.,singleleaf pinyon
PIMO3,,Pinus monticola Douglas ex D. Don,western white pine
PIMU,,Pinus muricata D. Don,Bishop pine
PIMU80,,Pinus mugo Turra,mugo pine
PINI,,Pinus nigra Arnold,Austrian pine
PIPA2,,Pinus palustris Mill.,longleaf pine
PIPO,,Pinus ponderosa Lawson & C. Lawson,ponderosa pine
PIPU,,Picea pungens Engelm.,blue spruce
PIPU5,,Pinus pungens Lamb.,Table Mountain pine
PIRA2,,Pinus radiata D. Don,Monterey pine
PIRE,,Pinus resinosa Aiton,red pine
PIRI,,Pinus rigida Mill.,pitch pine
PIRU,,Picea rubens Sarg.,red spruce
PISA2,,Pinus sabiniana Douglas ex Douglas,California foothill pine
PISE,,Pinus serotina Michx.,pond pine
PISI,,Picea sitchensis (Bong.) Carrière,Sitka spruce
PIST,,Pinus strobus L.,eastern white pine
PISY,,Pinus sylvestris L.,Scots pine
PITA,,Pinus taeda L.,loblolly pine
PITH2,,Pinus thunbergii Parl.,Japanese black pine
PITH2,PITH3,Pinus thunbergiana Franco,
PITO2,,Pittosporum tobira (Thunb.) W.T. Aiton,Japanese cheesewood
PIVI2,,Pinus virginiana Mill.,Virginia pine
PIVI5,,Pittosporum viridiflorum Sims,Cape cheesewood
PLAQ,,Planera aquatica J.F. Gmel.,planertree
PLHI,,Platanus ×hispanica Mill. ex Münchh. [occidentalis × orientalis],London planetree
PLHI,PLHY3,Platanus hybrida Brot.,
PLJA,,Pleuraphis jamesii Torr.,James' galleta
PLMA2,,Plantago major L.,common plantain
PLMU3,,Pleuraphis mutica Buckley,tobosagrass
PLOC,,Platanus occidentalis L.,American sycamore
PLODO,,Pluchea odorata (L.) Cass. var. odorata,sweetscent
PLOR80,,Platycladus orientalis (L.) Franco,Oriental arborvitae
PLPA2,,Plantago patagonica Jacq.,woolly plantain
PLRA,,Platanus racemosa Nutt.,California sycamore
PLRI3,,Pleuraphis rigida Thurb.,big galleta
PLSA2,,Planchonella sandwicensis (A. Gray) Pierre,'ala'a
PLSA2,POSA11,Pouteria sandwicensis (A. Gray) Baehni & O. Deg.,
PLWR2,,Platanus wrightii S. Watson,Arizona sycamore
POAC,,Polemonium acutiflorum Willd. ex Roem. & Schult.,tall Jacob's-ladder
POAL2,,Poa alpina L.,alpine bluegrass
POAL7,,Populus alba L.,white poplar
POAM5,,Potamogeton amplifolius Tuck.,largeleaf pondweed
POAM8,,Polygonum amphibium L.,water knotweed
POAN,,Poa annua L.,annual bluegrass
POAN3,,Populus angustifolia James,narrowleaf cottonwood
POAR2,,Poa arctica R. Br.,arctic bluegrass
POAR7,,Potentilla arguta Pursh,tall cinquefoil
POAU,,Poa autumnalis Muhl. ex Elliott,autumn bluegrass
POBA2,,Populus balsamifera L.,balsam poplar
POBAT,,Populus balsamifera L. ssp. trichocarpa (Torr. & A. Gray ex Hook.) Brayshaw,black cottonwood
POBI5,,Polygonum bistorta L.,meadow bistort
POBI6,,Polygonum bistortoides Pursh,American bistort
POBU,,Poa bulbosa L.,bulbous bluegrass
POCA19,,Populus ×canadensis Moench (pro sp.) [deltoides × nigra],Carolina poplar
POCO,,Poa compressa L.,Canada bluegrass
POCO14,,Pontederia cordata L.,pickerelweed
POCO5,,Polygala cowellii (Britton) S.F. Blake,violet tree
POCR3,,Potamogeton crispus L.,curly pondweed
PODA,,Polygonum davisiae W.H. Brewer ex A. Gray,Davis' knotweed
PODE3,,Populus deltoides W. Bartram ex Marshall,eastern cottonwood
PODEM,,Populus deltoides W. Bartram ex Marshall ssp. monilifera (Aiton) Eckenwalder,plains cottonwood
PODI,,Potamogeton diversifolius Raf.,waterthread pondweed
PODI2,,Potentilla diversifolia Lehm.,varileaf cinquefoil
POEM,,Poa eminens J. Presl,largeflower speargrass
POEP2,,Potamogeton epihydrus Raf.,ribbonleaf pondweed
POFE,,Poa fendleriana (Steud.) Vasey,muttongrass
POFEF,,Poa fendleriana (Steud.) Vasey ssp. fendleriana,muttongrass
POFOF5,,Potamogeton foliosus Raf. ssp. fibrillosus (Fernald) Haynes & C.B. Hellquist,leafy pondweed
POFR2,,Populus fremontii S. Watson,Fremont cottonwood
POGL,,Poa glauca Vahl,glaucous bluegrass
POGL9,,Potentilla glandulosa Lindl.,sticky cinquefoil
POGLG,,Poa glauca Vahl ssp. glauca,glaucous bluegrass
POGR4,,Populus grandidentata Michx.,bigtooth aspen
POGR8,,Potamogeton gramineus L.,variableleaf pondweed
POGR9,,Potentilla gracilis Douglas ex Hook.,slender cinquefoil
POHE4,,Populus heterophylla L.,swamp cottonwood
POHY,,Polygonum hydropiper L.,marshpepper knotweed
POHY2,,Polygonum hydropiperoides Michx.,swamp smartweed
POLE,,Poa leibergii Scribn.,Leiberg's bluegrass
POLE2,,Poa leptocoma Trin.,marsh bluegrass
POMA26,,Poa macrantha Vasey,seashore bluegrass
POMA32,,Podocarpus macrophyllus (Thunb.) Sweet,yew plum pine
POMO5,,Polypogon monspeliensis (L.) Desf.,annual rabbitsfoot grass
POMU,,Polystichum munitum (Kaulf.) C. Presl,western swordfern
PONA4,,Potamogeton natans L.,floating pondweed
PONE2,,Poa nervosa (Hook.) Vasey,Wheeler bluegrass
PONI,,Populus nigra L.,Lombardy poplar
PONO2,,Potamogeton nodosus Poir.,longleaf pondweed
POOC2,,Polemonium occidentale Greene,western polemonium
POPA2,,Poa palustris L.,fowl bluegrass
POPE2,,Polygonum pensylvanicum L.,Pennsylvania smartweed
POPE3,,Polygonum persicaria L.,spotted ladysthumb
POPL,,Potentilla plattensis Nutt.,Platte River cinquefoil
POPR,,Poa pratensis L.,Kentucky bluegrass
POPR5,,Potamogeton praelongus Wulfen,whitestem pondweed
POPU5,,Polygonum punctatum Elliott,dotted smartweed
PORO2,,Potamogeton robbinsii Oakes,Robbins' pondweed
POSA5,,Polygonum sagittatum L.,arrowleaf tearthumb
POSE,,Poa secunda J. Presl,Sandberg bluegrass
POSY,,Poa sylvestris A. Gray,woodland bluegrass
POTR2,,Poa trivialis L.,rough bluegrass
POTR5,,Populus tremuloides Michx.,quaking aspen
POVI3,,Polygonum viviparum L.,alpine bistort
POZO,,Potamogeton zosteriformis Fernald,flatstem pondweed
PRACM,,Prestoea acuminata (Willd.) H.E. Moore var. montana (Graham) A. Hend. & G. Galeano,Sierran palm
PRAM,,Prunus americana Marshall,American plum
PRAN3,,Prunus angustifolia Marshall,Chickasaw plum
PREM,,Prunus emarginata (Douglas ex Hook.) D. Dietr.,bitter cherry
PRFA,,Prunus fasciculata (Torr.) A. Gray,desert almond
PRFR2,,Prunus fruticosa Pall.,European dwarf cherry
PRGLG,,Prosopis glandulosa Torr. var. glandulosa,honey mesquite
PRILL,,Prunus ilicifolia (Nutt. ex Hook. & Arn.) D. Dietr. ssp. lyonii (Eastw.) P.H. Raven,hollyleaf cherry
PRIN,,Primula incana M.E. Jones,silvery primrose
PRMA15,,Pritchardia maideniana Becc.,Hawai'i pritchardia
PRMA15,PRAF,Pritchardia affinis Becc.,
PRMA2,,Prunus maritima Marshall,beach plum
PRMU3,,Pritchardia munroi Rock,Kamalo pritchardia
PRNI,,Prunus nigra Aiton,Canadian plum
PRPA5,,Prunus padus L.,European bird cherry
PRPE2,,Prunus pensylvanica L. f.,pin cherry
PRPU,,Prosopis pubescens Benth.,screwbean mesquite
PRPU3,,Prunus pumila L.,sandcherry
PRPUB,,Prunus pumila L. var. besseyi (L.H. Bailey) Gleason,western sandcherry
PRSE2,,Prunus serotina Ehrh.,black cherry
PRSER2,,Prunus serotina Ehrh. var. rufula (Wooton & Standl.) McVaugh,black cherry
PRSU2,,Prunus subcordata Benth.,Klamath plum
PRTE5,,Prunus tenella Batsch,dwarf Russian almond
PRTO80,,Prunus tomentosa Thunb.,Nanking cherry
PRVI,,Prunus virginiana L.,chokecherry
PRVID,,Prunus virginiana L. var. demissa (Nutt.) Torr.,western chokecherry
PRVU,,Prunella vulgaris L.,common selfheal
PSGU,,Psidium guajava L.,guava
PSJU3,,Psathyrostachys juncea (Fisch.) Nevski,Russian wildrye
PSMA,,Pseudotsuga macrocarpa (Vasey) Mayr,bigcone Douglas-fir
PSME,,Pseudotsuga menziesii (Mirb.) Franco,Douglas-fir
PSMEG,,Pseudotsuga menziesii (Mirb.) Franco var. glauca (Beissn.) Franco,Rocky Mountain Douglas-fir
PSOD,,Psydrax odorata (G. Forst.) A.C. Sm. & S. Darwin,alahe'e
PSOD,CAOD2,Canthium odoratum (G. Forst.) Seem.,
PSSPI,,Pseudoroegneria spicata (Pursh) Á. Löve ssp. inermis (Scribn. & J.G. Sm.) Á. Löve,beardless wheatgrass
PSSPS,,Pseudoroegneria spicata (Pursh) Á. Löve ssp. spicata,bluebunch wheatgrass
PTAQ,,Pteridium aquilinum (L.) Kuhn,western brackenfern
PTKI,,Ptilagrostis kingii (Bol.) Barkworth,Sierra false needlegrass
PTOF,,Pterocarpus officinalis Jacq.,dragonsblood tree
